booking reference,shift_date,start,end,trust,staff group,ward,division,request grade,booked grade,payband,day rate,night rate,staff_id,requester,request_reason,booked date
BR-00000012-20260914_000059,2027-08-10,14:15:00,00:15:00,Lakeside District Hospitals NHS Trust,AHP,Anaesthesia,Critical Care & Anaesthesia,Speech Therapist,Physiologist,6,22.56,28.21,EMP0958-20260914_000059,Mrs Stacey Price,Unexpected Absence,2025-09-24
BR-00000013-20260914_000059,2027-06-28,13:00:00,19:00:00,Hillcrest Medical Centres NHS Trust,AHP,Minor Injuries Unit,Emergency & Urgent Care,Physiologist,Occupational Therapist,6,22.56,28.21,EMP0350-20260914_000059,Neil Cox-Evans,Annual Leave Cover,2025-01-28
BR-00000014-20260914_000059,2026-06-19,06:45:00,08:45:00,Southvale Hospitals NHS Trust,Nursing,Obstetrics,Women & Children,Staff Nurse,Staff Nurse,5,18.97,23.08,EMP0738-20260914_000059,Connor Wilson,Planned Leave Cover,2024-12-07
BR-00000015-20260914_000059,2027-06-01,22:30:00,08:30:00,Lakeside District Hospitals NHS Trust,AHP,Pain Management,Critical Care & Anaesthesia,Physiotherapist,Physiologist,6,22.56,28.21,EMP0980-20260914_000059,Rachel Jennings-Walton,High Acuity Patients,2025-06-28
BR-00000016-20260914_000059,2027-08-11,20:00:00,00:00:00,Northshire University Hospitals NHS Trust,Admin,General Surgery,Medicine & Acute Care,Administrator,Data Analyst,8A,28.21,35.9,EMP1128-20260914_000059,Patrick Rhodes,Night Shift Cover,2025-04-13
BR-00000017-20260914_000059,2027-05-13,08:15:00,20:15:00,Northshire University Hospitals NHS Trust,AHP,Emergency Department,Emergency & Urgent Care,Pharmacist,Pharmacist,5,18.97,23.08,EMP0425-20260914_000059,Mr Thomas Lynch,High Acuity Patients,2026-02-05
BR-00000018-20260914_000059,2026-10-17,20:30:00,04:30:00,Lakeside District Hospitals NHS Trust,Medical,Radiology,Clinical Support Services,Registrar,Registrar,SPR,33.33,43.59,EMP0014-20260914_000059,Alan Winter,Emergency Cover,2025-11-02
BR-00000019-20260914_000059,2027-03-28,04:15:00,13:15:00,Eastfield Psychological Services NHS Trust,AHP,Cardiology,Medicine & Acute Care,Speech Therapist,Physiotherapist,6,22.56,28.21,EMP0892-20260914_000059,Christian Moore,Emergency Cover,2025-12-31
BR-00000020-20260914_000059,2027-08-08,05:30:00,13:30:00,Northshire University Hospitals NHS Trust,Admin,Neurosurgery,Surgery & Cancer,Data Analyst,Data Analyst,8A,28.21,35.9,EMP0781-20260914_000059,Emily Murphy,Specialist Skills Required,2024-10-04
BR-00000021-20260914_000059,2027-08-26,14:15:00,01:15:00,Riverside Integrated Care NHS Trust,AHP,Emergency Department,Emergency & Urgent Care,Speech Therapist,Occupational Therapist,6,22.56,28.21,EMP1043-20260914_000059,Carol Ross,High Acuity Patients,2025-09-23
BR-00000022-20260914_000059,2026-10-12,10:15:00,22:15:00,Southgate Community & Mental Health NHS Trust,Admin,Orthopaedics,Surgery & Cancer,Receptionist,Medical Secretary,4,15.38,19.49,EMP0363-20260914_000059,Gordon Perry-Pritchard,High Acuity Patients,2025-02-14
BR-00000023-20260914_000059,2027-08-02,15:30:00,03:30:00,Valleyview Mental Wellness NHS Trust,AHP,IT Support,Corporate Services,Radiographer,Pharmacist,5,18.97,23.08,EMP1132-20260914_000059,Mandy Thomson,Ward Capacity Increase,2024-11-20
BR-00000024-20260914_000059,2026-11-13,02:00:00,10:00:00,Valleyview Mental Wellness NHS Trust,Medical,Pain Management,Critical Care & Anaesthesia,Registrar,FY1/FY2,FY1,18.46,21.54,EMP0720-20260914_000059,Chloe Moran-Swift,Maternity Leave Cover,2026-03-14
BR-00000025-20260914_000059,2025-12-01,00:45:00,02:45:00,Broadfield Clinical Services NHS Trust,Medical,Radiology,Clinical Support Services,Registrar,Consultant,CONS,48.72,71.79,EMP0573-20260914_000059,Mr Mohammed Lee,Staff Shortage,2025-12-14
BR-00000026-20260914_000059,2027-05-05,12:45:00,21:45:00,Hillcrest Medical Centres NHS Trust,Admin,Facilities Management,Corporate Services,Medical Secretary,Medical Secretary,4,15.38,19.49,EMP0422-20260914_000059,Dorothy Smith,Operational Requirement,2026-03-10
BR-00000027-20260914_000059,2026-04-15,16:30:00,22:30:00,Riverside Integrated Care NHS Trust,Medical,Human Resources,Corporate Services,FY1/FY2,SHO,SHO,23.08,30.77,EMP0970-20260914_000059,Bryan Skinner-Goodwin,Weekend Cover,2024-11-17
BR-00000028-20260914_000059,2026-06-09,11:00:00,12:00:00,Lakeside District Hospitals NHS Trust,Admin,Intensive Care Unit,Critical Care & Anaesthesia,Administrator,Administrator,3,13.33,16.41,EMP0040-20260914_000059,Jordan Hughes,Weekend Cover,2026-06-01
BR-00000029-20260914_000059,2027-08-13,19:15:00,04:15:00,Broadfield Clinical Services NHS Trust,Nursing,Intensive Care Unit,Critical Care & Anaesthesia,Ward Manager,Ward Manager,8A,28.21,35.9,EMP1097-20260914_000059,Mr Toby Evans,Staff Shortage,2024-09-19
BR-00000030-20260914_000059,2025-11-27,10:00:00,11:00:00,Meadowbrook Community Health NHS Trust,AHP,Orthopaedics,Surgery & Cancer,Physiologist,Physiologist,6,22.56,28.21,EMP0340-20260914_000059,Leslie Cooper,Weekend Cover,2025-06-03
BR-00000031-20260914_000059,2027-07-20,22:45:00,01:45:00,Bluewater Community & Rehabilitation NHS Trust,Admin,Urgent Care,Emergency & Urgent Care,Data Analyst,Receptionist,3,13.33,16.41,EMP0192-20260914_000059,Matthew Dale,Operational Requirement,2026-05-25
BR-00000032-20260914_000059,2026-12-26,03:15:00,07:15:00,Greenhaven Acute & Specialist Care NHS Trust,Medical,General Surgery,Surgery & Cancer,GP,Consultant,CONS,48.72,71.79,EMP0030-20260914_000059,Guy Palmer,Emergency Cover,2024-12-12
BR-00000033-20260914_000059,2027-03-01,09:45:00,18:45:00,Northwood Mental Health NHS Trust,Medical,Paediatrics,Women & Children,SHO,FY1/FY2,FY1,18.46,21.54,EMP0894-20260914_000059,Mrs Amber Williams,Staff Redeployment,2025-06-08
BR-00000034-20260914_000059,2027-08-19,05:00:00,07:00:00,Broadfield Clinical Services NHS Trust,Nursing,Radiology,Clinical Support Services,Nursery Nurse,Nursery Nurse,2,12.31,14.36,EMP0595-20260914_000059,Patrick Cooper,Weekend Cover,2025-12-15
BR-00000035-20260914_000059,2026-12-22,01:30:00,10:30:00,Riverside Integrated Care NHS Trust,AHP,Physiotherapy,Clinical Support Services,Speech Therapist,Occupational Therapist,6,22.56,28.21,EMP0728-20260914_000059,Donna Leach-Bull,Ward Capacity Increase,2026-09-12
BR-00000036-20260914_000059,2026-05-02,14:45:00,01:45:00,Southgate Community & Mental Health NHS Trust,AHP,Intensive Care Unit,Critical Care & Anaesthesia,Radiographer,Pharmacist,5,18.97,23.08,EMP0742-20260914_000059,Thomas Harris,Sickness Cover,2025-06-02
BR-00000037-20260914_000059,2027-07-02,13:30:00,01:30:00,Northshire University Hospitals NHS Trust,AHP,Pain Management,Critical Care & Anaesthesia,Radiographer,Physiologist,6,22.56,28.21,EMP0832-20260914_000059,Luke Griffin-Greenwood,Emergency Cover,2025-03-03
BR-00000038-20260914_000059,2026-08-24,09:45:00,18:45:00,Westmere Community Health NHS Trust,AHP,Anaesthesia,Critical Care & Anaesthesia,Physiologist,Physiotherapist,6,22.56,28.21,EMP0730-20260914_000059,Suzanne Butler-Mitchell,Increased Patient Demand,2024-10-23
BR-00000039-20260914_000059,2027-02-22,15:45:00,00:45:00,Horizon Integrated Health Partnership NHS Trust,Medical,Ambulance Services,Emergency & Urgent Care,SHO,FY1/FY2,FY1,18.46,21.54,EMP1043-20260914_000059,Anna Wood,Study Leave Cover,2024-09-30
BR-00000040-20260914_000059,2025-09-16,16:30:00,03:30:00,Riverbank General Hospitals NHS Trust,Medical,Finance,Corporate Services,FY1/FY2,Consultant,CONS,48.72,71.79,EMP0238-20260914_000059,Hilary Whittaker,Additional Patient Safety Cover,2025-03-11
BR-00000041-20260914_000059,2026-02-26,15:00:00,23:00:00,Westborough Acute Care NHS Trust,AHP,Respiratory Medicine,Medicine & Acute Care,Speech Therapist,Speech Therapist,6,22.56,28.21,EMP0619-20260914_000059,Mrs Michelle Goddard,Maternity Leave Cover,2025-12-22
BR-00000042-20260914_000059,2026-10-30,04:30:00,13:30:00,Midlands Central Hospitals NHS Trust,Medical,Gynaecology,Women & Children,GP,FY1/FY2,FY1,18.46,21.54,EMP0503-20260914_000059,Hannah Brown,Unexpected Absence,2025-11-02
BR-00000043-20260914_000059,2027-01-06,17:45:00,18:45:00,Riverbank General Hospitals NHS Trust,Medical,Urgent Care,Emergency & Urgent Care,SHO,Registrar,SPR,33.33,43.59,EMP0508-20260914_000059,Ms Maureen May,Emergency Cover,2025-12-02
BR-00000044-20260914_000059,2026-09-06,17:00:00,03:00:00,Eastmoor Teaching Hospitals NHS Trust,AHP,Occupational Therapy,Clinical Support Services,Radiographer,Pharmacist,5,18.97,23.08,EMP0174-20260914_000059,Miss Beverley Nicholson,Operational Requirement,2024-11-08
BR-00000045-20260914_000059,2027-06-29,03:30:00,04:30:00,Valleyview Mental Wellness NHS Trust,Nursing,Facilities Management,Corporate Services,Senior Staff Nurse,Staff Nurse,5,18.97,23.08,EMP0120-20260914_000059,Kevin Hunter,Maternity Leave Cover,2026-04-28
BR-00000046-20260914_000059,2027-07-25,23:30:00,03:30:00,Broadfield Clinical Services NHS Trust,Nursing,Pharmacy,Clinical Support Services,Nursery Nurse,Senior Staff Nurse,6,22.56,28.21,EMP0352-20260914_000059,Max Owen,Planned Leave Cover,2025-06-11
BR-00000047-20260914_000059,2025-12-14,08:00:00,15:00:00,Hillcrest Medical Centres NHS Trust,AHP,Anaesthesia,Critical Care & Anaesthesia,Radiographer,Physiotherapist,6,22.56,28.21,EMP1188-20260914_000059,Miss Clare Martin,Operational Requirement,2026-08-12
BR-00000048-20260914_000059,2026-10-02,13:30:00,17:30:00,Riverbank General Hospitals NHS Trust,Admin,ENT Surgery,Surgery & Cancer,Administrator,Medical Secretary,4,15.38,19.49,EMP0346-20260914_000059,Ms Kirsty Miller,Planned Leave Cover,2026-09-13
BR-00000049-20260914_000059,2027-07-04,04:45:00,11:45:00,Bluewater Community & Rehabilitation NHS Trust,Medical,Ambulance Services,Emergency & Urgent Care,Registrar,SHO,SHO,23.08,30.77,EMP0436-20260914_000059,Maurice Cooper-Booth,Maternity Leave Cover,2025-09-24
BR-00000050-20260914_000059,2027-07-11,04:30:00,11:30:00,Bluewater Community & Rehabilitation NHS Trust,Admin,Anaesthesia,Critical Care & Anaesthesia,Medical Secretary,Administrator,3,13.33,16.41,EMP0571-20260914_000059,Mr Gareth Morgan,Training Cover,2025-02-05
BR-00000051-20260914_000059,2025-10-26,20:45:00,01:45:00,Eastmoor Teaching Hospitals NHS Trust,Admin,Gynaecology,Women & Children,Medical Secretary,Data Analyst,8A,28.21,35.9,EMP1105-20260914_000059,Kayleigh Phillips,Increased Patient Demand,2026-01-07
BR-00000052-20260914_000059,2027-04-14,00:30:00,05:30:00,Westborough Acute Care NHS Trust,Medical,Neurosurgery,Surgery & Cancer,Consultant,Consultant,CONS,48.72,71.79,EMP0497-20260914_000059,Garry Lamb,Planned Leave Cover,2025-09-07
BR-00000053-20260914_000059,2026-06-20,04:30:00,05:30:00,Northwood Mental Health NHS Trust,Medical,Gynaecology,Women & Children,FY1/FY2,GP,GP,46.15,61.54,EMP0172-20260914_000059,Tracy Thorpe-Khan,Specialist Skills Required,2026-02-21
BR-00000054-20260914_000059,2027-02-28,21:15:00,23:15:00,Lakeside District Hospitals NHS Trust,Nursing,ENT Surgery,Surgery & Cancer,Staff Nurse,Staff Nurse,5,18.97,23.08,EMP0505-20260914_000059,Joan Bell,Additional Patient Safety Cover,2025-06-29
BR-00000055-20260914_000059,2027-02-10,11:45:00,12:45:00,Meadowbrook Community Health NHS Trust,Medical,Oncology,Medicine & Acute Care,Registrar,SHO,SHO,23.08,30.77,EMP0760-20260914_000059,Natasha Hicks,New Service Requirement,2026-04-25
BR-00000056-20260914_000059,2026-09-30,08:15:00,13:15:00,Lakeside District Hospitals NHS Trust,Nursing,Neurosurgery,Surgery & Cancer,Senior Staff Nurse,Ward Manager,8A,28.21,35.9,EMP0277-20260914_000059,Joanna Barnett-Ward,Study Leave Cover,2024-12-19
BR-00000057-20260914_000059,2027-09-04,07:45:00,14:45:00,Midlands Central Hospitals NHS Trust,Medical,Dermatology,Medicine & Acute Care,FY1/FY2,SHO,SHO,23.08,30.77,EMP0574-20260914_000059,Miss Barbara Newman,Maternity Leave Cover,2024-11-11
BR-00000058-20260914_000059,2026-06-25,00:15:00,05:15:00,Midlands Central Hospitals NHS Trust,Nursing,Intensive Care Unit,Critical Care & Anaesthesia,Nursery Nurse,Ward Manager,8A,28.21,35.9,EMP0465-20260914_000059,Vincent Moran-Foster,Unexpected Absence,2024-10-14
BR-00000059-20260914_000059,2026-06-26,23:45:00,11:45:00,Hillcrest Medical Centres NHS Trust,Admin,Urgent Care,Emergency & Urgent Care,Administrator,Medical Secretary,4,15.38,19.49,EMP0594-20260914_000059,Julian Coles,Planned Leave Cover,2025-01-11
BR-00000060-20260914_000059,2026-06-06,09:00:00,18:00:00,Eastmoor Teaching Hospitals NHS Trust,Medical,Nephrology,Medicine & Acute Care,GP,GP,GP,46.15,61.54,EMP1012-20260914_000059,Christine Watts,Staff Shortage,2024-09-25
BR-00000061-20260914_000059,2025-11-04,10:15:00,17:15:00,Bluewater Community & Rehabilitation NHS Trust,AHP,Occupational Therapy,Clinical Support Services,Occupational Therapist,Radiographer,6,22.56,28.21,EMP0785-20260914_000059,Pamela Begum,Staff Redeployment,2025-02-11
BR-00000062-20260914_000059,2026-07-24,21:00:00,08:00:00,Westmere Community Health NHS Trust,Admin,Obstetrics,Women & Children,Administrator,Medical Secretary,4,15.38,19.49,EMP0186-20260914_000059,Miss Megan Jackson,Unexpected Absence,2026-03-29
BR-00000063-20260914_000059,2027-08-19,14:30:00,21:30:00,Southgate Community & Mental Health NHS Trust,Nursing,IT Support,Corporate Services,Healthcare Assistant,Ward Manager,8A,28.21,35.9,EMP0578-20260914_000059,Dr Justin Norman,Bank Holiday Cover,2026-02-03
BR-00000064-20260914_000059,2026-01-13,03:30:00,15:30:00,Midlands Central Hospitals NHS Trust,Nursing,Anaesthesia,Critical Care & Anaesthesia,Staff Nurse,Ward Manager,8A,28.21,35.9,EMP0268-20260914_000059,Steven Rogers,Night Shift Cover,2026-04-06
BR-00000065-20260914_000059,2027-01-29,10:00:00,16:00:00,Valleyview Mental Wellness NHS Trust,Medical,Obstetrics,Women & Children,Registrar,Consultant,CONS,48.72,71.79,EMP1020-20260914_000059,Leon Murphy,Unexpected Absence,2024-10-08
BR-00000066-20260914_000059,2027-06-05,08:30:00,14:30:00,Horizon Integrated Health Partnership NHS Trust,Nursing,Postnatal Care,Women & Children,Staff Nurse,Senior Staff Nurse,6,22.56,28.21,EMP0088-20260914_000059,Beth O'Sullivan,Bank Holiday Cover,2025-08-26
BR-00000067-20260914_000059,2027-05-20,04:00:00,14:00:00,Midlands Central Hospitals NHS Trust,Admin,Breast Surgery,Surgery & Cancer,Administrator,Receptionist,3,13.33,16.41,EMP0226-20260914_000059,Mr Billy Phillips,Study Leave Cover,2024-11-30
BR-00000068-20260914_000059,2026-08-16,07:00:00,16:00:00,Oakridge Community Services NHS Trust,Nursing,General Surgery,Medicine & Acute Care,Staff Nurse,Healthcare Assistant,2,12.31,14.36,EMP0401-20260914_000059,Dr Melissa Miller,Additional Patient Safety Cover,2025-03-05
BR-00000069-20260914_000059,2027-05-30,03:00:00,14:00:00,Southgate Community & Mental Health NHS Trust,AHP,Pharmacy,Clinical Support Services,Pharmacist,Physiologist,6,22.56,28.21,EMP0828-20260914_000059,Ms Clare Evans,High Acuity Patients,2025-08-27
BR-00000070-20260914_000059,2027-01-20,16:30:00,04:30:00,Bluewater Community & Rehabilitation NHS Trust,AHP,Gynaecology,Women & Children,Physiologist,Pharmacist,5,18.97,23.08,EMP0102-20260914_000059,Anthony Simpson-Smith,High Acuity Patients,2026-07-20
BR-00000071-20260914_000059,2026-08-03,10:45:00,13:45:00,Lakeside District Hospitals NHS Trust,Admin,Geriatrics,Medicine & Acute Care,Administrator,Receptionist,3,13.33,16.41,EMP0192-20260914_000059,Kerry Roberts,Maternity Leave Cover,2024-12-08
BR-00000072-20260914_000059,2026-06-01,05:00:00,15:00:00,Bluewater Community & Rehabilitation NHS Trust,Medical,Neurology,Medicine & Acute Care,Registrar,FY1/FY2,FY1,18.46,21.54,EMP0007-20260914_000059,Ms Lynn Ali,Staff Shortage,2025-12-19
BR-00000073-20260914_000059,2026-08-08,11:30:00,15:30:00,Broadfield Clinical Services NHS Trust,Admin,Facilities Management,Corporate Services,Administrator,Data Analyst,8A,28.21,35.9,EMP1078-20260914_000059,Christian Kaur,Ward Capacity Increase,2025-03-11
BR-00000074-20260914_000059,2026-03-02,23:30:00,04:30:00,Southvale Hospitals NHS Trust,Nursing,Oncology,Medicine & Acute Care,Charge Nurse,Nursery Nurse,2,12.31,14.36,EMP1190-20260914_000059,Ellie Rees,Training Cover,2026-08-02
BR-00000075-20260914_000059,2025-10-30,16:45:00,02:45:00,Bluewater Community & Rehabilitation NHS Trust,Medical,Postnatal Care,Women & Children,Consultant,Registrar,SPR,33.33,43.59,EMP0114-20260914_000059,Kelly Evans,New Service Requirement,2025-04-17
BR-00000076-20260914_000059,2026-12-25,04:00:00,13:00:00,Meadowbrook Community Health NHS Trust,Admin,General Surgery,Surgery & Cancer,Medical Secretary,Receptionist,3,13.33,16.41,EMP0613-20260914_000059,Mrs Lindsey Bray,Bank Holiday Cover,2026-05-21
BR-00000077-20260914_000059,2026-10-14,22:00:00,03:00:00,Meadowbrook Community Health NHS Trust,Admin,Obstetrics,Women & Children,Data Analyst,Receptionist,3,13.33,16.41,EMP0634-20260914_000059,Tony Payne,New Service Requirement,2025-05-04
BR-00000078-20260914_000059,2025-11-28,12:00:00,16:00:00,Bluewater Community & Rehabilitation NHS Trust,Medical,Finance,Corporate Services,FY1/FY2,GP,GP,46.15,61.54,EMP1161-20260914_000059,Beth Lee,Ward Capacity Increase,2026-01-31
BR-00000079-20260914_000059,2027-06-08,01:00:00,08:00:00,Westmere Community Health NHS Trust,AHP,Radiology,Clinical Support Services,Radiographer,Radiographer,6,22.56,28.21,EMP1187-20260914_000059,Dr Abdul Walker,Sickness Cover,2025-12-18
BR-00000080-20260914_000059,2026-09-28,06:00:00,09:00:00,Southvale Hospitals NHS Trust,Medical,Neurology,Medicine & Acute Care,GP,Consultant,CONS,48.72,71.79,EMP0644-20260914_000059,Sian Andrews,Operational Requirement,2025-10-24
BR-00000081-20260914_000059,2027-02-08,12:00:00,16:00:00,Meadowbrook Community Health NHS Trust,Medical,IT Support,Corporate Services,Registrar,Registrar,SPR,33.33,43.59,EMP0375-20260914_000059,Iain Norton,Specialist Skills Required,2025-06-21
BR-00000082-20260914_000059,2027-03-16,14:45:00,18:45:00,Oakridge Community Services NHS Trust,Admin,Anaesthesia,Critical Care & Anaesthesia,Receptionist,Receptionist,3,13.33,16.41,EMP0372-20260914_000059,Jake Sanders,Annual Leave Cover,2026-07-15
BR-00000083-20260914_000059,2027-07-25,12:15:00,23:15:00,Broadfield Clinical Services NHS Trust,AHP,Finance,Corporate Services,Physiotherapist,Physiotherapist,6,22.56,28.21,EMP0575-20260914_000059,Laura Morton,Emergency Cover,2025-06-23
BR-00000084-20260914_000059,2026-09-29,08:30:00,11:30:00,Horizon Integrated Health Partnership NHS Trust,Medical,Obstetrics,Women & Children,Registrar,Consultant,CONS,48.72,71.79,EMP0724-20260914_000059,Mrs Rosemary Humphreys,Specialist Skills Required,2025-11-17
BR-00000085-20260914_000059,2026-08-01,02:30:00,11:30:00,Southgate Community & Mental Health NHS Trust,AHP,Ambulance Services,Emergency & Urgent Care,Speech Therapist,Occupational Therapist,6,22.56,28.21,EMP0045-20260914_000059,Jeffrey Howard,High Acuity Patients,2026-04-07
BR-00000086-20260914_000059,2026-06-14,08:00:00,12:00:00,Westmere Community Health NHS Trust,AHP,Ambulance Services,Emergency & Urgent Care,Physiologist,Physiologist,6,22.56,28.21,EMP0511-20260914_000059,Rachael Short,New Service Requirement,2026-05-07
BR-00000087-20260914_000059,2026-03-10,14:15:00,18:15:00,Eastfield Psychological Services NHS Trust,Admin,Minor Injuries Unit,Emergency & Urgent Care,Administrator,Data Analyst,8A,28.21,35.9,EMP0612-20260914_000059,Liam Jones,Bank Holiday Cover,2026-04-28
BR-00000088-20260914_000059,2026-10-12,06:15:00,18:15:00,Greenhaven Acute & Specialist Care NHS Trust,Admin,Minor Injuries Unit,Emergency & Urgent Care,Data Analyst,Data Analyst,8A,28.21,35.9,EMP0706-20260914_000059,Mr Keith Baker,Specialist Skills Required,2026-08-09
BR-00000089-20260914_000059,2026-04-16,13:00:00,01:00:00,Greenhaven Acute & Specialist Care NHS Trust,AHP,Neurology,Medicine & Acute Care,Radiographer,Physiologist,6,22.56,28.21,EMP0913-20260914_000059,Diana Higgins,Maternity Leave Cover,2026-04-09
BR-00000090-20260914_000059,2025-12-24,03:00:00,09:00:00,Greenhaven Acute & Specialist Care NHS Trust,Nursing,Facilities Management,Corporate Services,Ward Manager,Nursery Nurse,2,12.31,14.36,EMP0672-20260914_000059,Dylan Thomas,Staff Redeployment,2024-12-28
BR-00000091-20260914_000059,2026-05-29,00:00:00,08:00:00,Westmere Community Health NHS Trust,AHP,General Surgery,Surgery & Cancer,Speech Therapist,Speech Therapist,6,22.56,28.21,EMP0145-20260914_000059,Miss Jean Spencer,High Acuity Patients,2026-08-28
BR-00000092-20260914_000059,2027-07-08,08:15:00,18:15:00,Horizon Integrated Health Partnership NHS Trust,Medical,Respiratory Medicine,Medicine & Acute Care,FY1/FY2,Registrar,SPR,33.33,43.59,EMP0765-20260914_000059,Frederick Fisher,Increased Patient Demand,2026-04-03
BR-00000093-20260914_000059,2026-05-02,21:45:00,04:45:00,Riverbank General Hospitals NHS Trust,Medical,Urgent Care,Emergency & Urgent Care,Registrar,SHO,SHO,23.08,30.77,EMP0917-20260914_000059,Dr Douglas Kay,Staff Redeployment,2026-04-19
BR-00000094-20260914_000059,2027-07-27,00:00:00,05:00:00,Northshire University Hospitals NHS Trust,Nursing,Respiratory Medicine,Medicine & Acute Care,Ward Manager,Nursery Nurse,2,12.31,14.36,EMP0823-20260914_000059,Dr Conor Thomas,Annual Leave Cover,2025-05-24
BR-00000095-20260914_000059,2026-06-25,21:15:00,09:15:00,Riverbank General Hospitals NHS Trust,Medical,IT Support,Corporate Services,Consultant,Registrar,SPR,33.33,43.59,EMP0270-20260914_000059,Guy Nicholls,Unexpected Absence,2025-04-20
BR-00000096-20260914_000059,2026-02-03,10:30:00,22:30:00,Hillcrest Medical Centres NHS Trust,Medical,Finance,Corporate Services,Registrar,Registrar,SPR,33.33,43.59,EMP1169-20260914_000059,Norman Clayton,High Acuity Patients,2025-01-16
BR-00000097-20260914_000059,2027-09-11,06:45:00,15:45:00,Broadfield Clinical Services NHS Trust,Nursing,Pathology,Clinical Support Services,Charge Nurse,Charge Nurse,7,26.67,33.33,EMP0879-20260914_000059,Dominic Baker,Maternity Leave Cover,2026-01-19
BR-00000098-20260914_000059,2026-12-24,03:00:00,09:00:00,Broadfield Clinical Services NHS Trust,Nursing,Physiotherapy,Clinical Support Services,Charge Nurse,Ward Manager,8A,28.21,35.9,EMP1164-20260914_000059,Terence Lewis,Increased Patient Demand,2025-11-19
BR-00000099-20260914_000059,2026-06-02,04:30:00,11:30:00,Westmere Community Health NHS Trust,Medical,Obstetrics,Women & Children,Consultant,Consultant,CONS,48.72,71.79,EMP0140-20260914_000059,Clare Taylor,Study Leave Cover,2025-10-07
BR-00000100-20260914_000059,2027-08-27,04:15:00,09:15:00,Broadfield Clinical Services NHS Trust,AHP,Obstetrics,Women & Children,Radiographer,Speech Therapist,6,22.56,28.21,EMP0722-20260914_000059,Emma Kirk,Specialist Skills Required,2025-09-22
BR-00000101-20260914_000059,2026-10-12,19:45:00,02:45:00,Bluewater Community & Rehabilitation NHS Trust,Admin,Anaesthesia,Critical Care & Anaesthesia,Data Analyst,Data Analyst,8A,28.21,35.9,EMP1037-20260914_000059,Lucy Ahmed,Annual Leave Cover,2026-08-24
BR-00000102-20260914_000059,2027-07-05,01:45:00,13:45:00,Oakridge Community Services NHS Trust,Medical,Facilities Management,Corporate Services,Registrar,GP,GP,46.15,61.54,EMP0182-20260914_000059,Mrs Gail Parkes,Staff Redeployment,2025-10-22
