emp_id,first_name,last_name,email,dob,telephone,address,gender,trust,ethnicity,nationality,visa_status,staff_group,role,division,grade,hourly_rate,hire_date,contract_start,weekly_hours,fte,registration_type,contract_type,employment_status,registration_no,registration_expiry_date,ni,dbs_expiry_date,mandatory_training_expiry_date,profile_creation_date
EMP0046-20260913_210636,Frances,Garner,chelsea96@example.org,1965-02-01,+44121 496 0551,"7 Hancock Parkway
Leeshire
S3 2GD",Female,Broadfield Clinical Services NHS Trust,White,Canada,Skilled Worker,Nursing,Healthcare Assistant,Corporate Services,2,13.94,2022-06-24,2022-07-29,37.5,1.0,GMC,Bank,Suspended,EO477693,2029-09-23,QI456508,2027-03-21,2027-06-06,2022-07-15
EMP0047-20260913_210636,Mark,Watts,lwillis@example.net,1987-07-19,(0131)4960775,"Flat 66B
Hughes Cove
Joebury
IP7 0XU",Female,Northwood Mental Health NHS Trust,Asian,India,Skilled Worker,Admin,Administrator,Clinical Support Services,3,15.76,2022-07-23,2022-08-27,15.0,0.4,None,Fixed Term,On Leave,IK475980,2026-10-15,HT554165,2029-12-07,2027-07-27,2022-08-13
EMP0048-20260913_210636,Jessica,Fleming,ellisnicola@example.com,2004-01-31,+44(0)191 496 0619,"Flat 82b
Smith Flat
Nigelhaven
G8D 5JN",Female,Riverbank General Hospitals NHS Trust,White,Australia,Skilled Worker,Medical,SHO,Surgery & Cancer,SHO,25.2,2019-03-27,2019-05-08,20.0,0.53,GMC,Fixed Term,Inactive,AP832165,2030-07-16,YM642002,2030-09-05,2027-05-26,2019-04-17
EMP0049-20260913_210636,Sean,Young,leon22@example.org,1970-04-19,(0808) 157 0809,"Studio 37
Bernard Spur
Wilsonborough
SK9 9US",Female,Broadfield Clinical Services NHS Trust,Asian,India,Dependent,Medical,FY1/FY2,Critical Care & Anaesthesia,FY1,20.96,2021-02-24,2021-04-07,37.5,1.0,NMC,Permanent,Active,FM712447,2027-02-18,SJ324146,2029-03-31,2026-10-03,2021-03-17
EMP0050-20260913_210636,Duncan,Pratt,sykeslisa@example.com,1992-03-29,028 9018 0311,"Studio 80
Bailey Center
Boothstad
RM3 4BZ",Female,Bluewater Community & Rehabilitation NHS Trust,Asian,India,British Citizen,Medical,FY1/FY2,Critical Care & Anaesthesia,FY1,19.91,2020-11-02,2020-11-30,18.75,0.5,NMC,Bank,Inactive,CR935456,2030-01-30,MP091756,2031-08-23,2027-01-17,2020-11-23
EMP0051-20260913_210636,Denise,Jones,mdaniels@example.com,1969-03-10,+44(0)909 879 0493,"21 Brett Cove
Port Kayleighstad
M07 1WQ",Female,Eastmoor Teaching Hospitals NHS Trust,White,Australia,ILR,Medical,Consultant,Medicine & Acute Care,CONS,49.01,2026-05-03,2026-06-14,37.5,1.0,GMC,Bank,Suspended,WO220283,2027-11-02,HJ863372,2027-01-31,2027-05-31,2026-05-24
EMP0052-20260913_210636,Gerard,Gray,hughesjosh@example.net,1982-03-20,+44(0)131 496 0290,"05 Francis Lodge
West Hollymouth
HR83 5NZ",Female,Riverside Integrated Care NHS Trust,Black,Ghana,Dependent,Admin,Administrator,Surgery & Cancer,3,15.16,2022-03-11,2022-04-08,18.75,0.5,NMC,Bank,Active,OV127481,2028-03-02,XN411846,2026-10-18,2027-01-01,2022-04-01
EMP0053-20260913_210636,Dean,Gardner,twallis@example.net,1982-09-05,+442074960328,"3 Brandon Point
Oliverbury
W8K 8LP",Female,Bluewater Community & Rehabilitation NHS Trust,Mixed,United Kingdom,Dependent,Nursing,Healthcare Assistant,Emergency & Urgent Care,2,14.16,2020-12-08,2021-01-19,37.5,1.0,GMC,Bank,Inactive,LE922053,2027-01-14,GI903892,2029-11-02,2027-03-11,2020-12-29
EMP0054-20260913_210636,Gregory,Williams,ubrown@example.org,2006-04-25,+44909 879 0809,"Studio 48Z
Abbott Spring
Thorntonmouth
E95 1DS",Male,Riverbank General Hospitals NHS Trust,Black,Nigeria,ILR,Nursing,Staff Nurse,Corporate Services,5,21.65,2018-07-09,2018-08-13,30.0,0.8,GMC,Permanent,Suspended,WU971930,2030-12-16,QG256741,2029-02-03,2027-04-18,2018-07-30
EMP0055-20260913_210636,Joseph,Gray,gthomas@example.net,1968-03-19,+44(0)141 496 0292,"4 Marcus Village
Kerryshire
M6 3SS",Female,Greenhaven Acute & Specialist Care NHS Trust,White,Canada,ILR,AHP,Speech Therapist,Medicine & Acute Care,6,26.79,2023-02-24,2023-04-07,18.75,0.5,None,Bank,Inactive,MV267174,2027-10-21,UG653150,2029-06-30,2027-02-01,2023-03-17
EMP0056-20260913_210636,Hayley,Davies,ryan31@example.org,2001-07-12,+441144960289,"Studio 6
Phillips Junctions
Port Stephanieport
BR24 4TL",Female,Westborough Acute Care NHS Trust,White,United Kingdom,Skilled Worker,Nursing,Staff Nurse,Surgery & Cancer,5,19.57,2020-10-27,2020-12-08,37.5,1.0,NMC,Fixed Term,Suspended,TE940562,2030-02-12,DZ881054,2027-03-17,2027-05-06,2020-11-17
EMP0057-20260913_210636,Gemma,Allan,wparsons@example.com,2000-06-29,+44909 8790530,"Studio 9
Green Track
East Victor
ZE1E 7ER",Female,Greenhaven Acute & Specialist Care NHS Trust,Black,Trinidad and Tobago,ILR,Admin,Data Analyst,Emergency & Urgent Care,8A,30.13,2017-12-06,2018-01-03,15.0,0.4,GMC,Fixed Term,Inactive,UM932919,2029-07-01,NP155223,2027-08-12,2026-10-13,2017-12-27
EMP0058-20260913_210636,Martin,Pritchard,allangibbs@example.com,1964-02-05,+4428 9018 0195,"0 Cole Square
New Eileen
L99 1EJ",Male,Eastmoor Teaching Hospitals NHS Trust,Mixed,India,Dependent,Medical,GP,Corporate Services,GP,59.97,2025-01-23,2025-02-27,30.0,0.8,None,Permanent,On Leave,SO226636,2027-08-21,IQ811927,2029-07-05,2027-02-02,2025-02-13
EMP0059-20260913_210636,Cheryl,Jones,wendy11@example.com,1995-01-03,+44118 4960060,"Studio 87S
Clarke Cliff
South Leannefurt
G0S 9XE",Female,Oakridge Community Services NHS Trust,Mixed,Australia,ILR,Admin,Administrator,Surgery & Cancer,3,16.08,2022-08-05,2022-09-09,15.0,0.4,None,Permanent,Suspended,XP807571,2028-10-22,IO712633,2026-12-02,2027-03-27,2022-08-26
EMP0060-20260913_210636,Abigail,Brown,nsimpson@example.com,1973-09-24,(0115) 4960410,"Flat 5
Ali Fall
East Guy
ML6E 0ST",Female,Eastmoor Teaching Hospitals NHS Trust,Mixed,Nigeria,Skilled Worker,Nursing,Healthcare Assistant,Medicine & Acute Care,2,13.32,2025-11-20,2026-01-01,15.0,0.4,None,Bank,Active,OW226514,2027-08-23,HD538757,2030-11-22,2027-06-05,2025-12-11
EMP0061-20260913_210636,Gemma,Lewis,kevin07@example.net,1987-09-24,(0151) 4960413,"Studio 2
Hussain Creek
Evansburgh
W4E 9PY",Female,Oakridge Community Services NHS Trust,Black,Jamaica,ILR,Admin,Medical Secretary,Women & Children,4,18.38,2024-01-05,2024-02-02,37.5,1.0,None,Permanent,On Leave,KZ388346,2029-07-22,MS111914,2028-07-04,2027-02-21,2024-01-26
EMP0062-20260913_210636,Sarah,Parsons,neil17@example.org,1980-10-07,0909 879 0543,"4 Patel Mission
Turnerfurt
W1 4SQ",Male,Hillcrest Medical Centres NHS Trust,White,Canada,British Citizen,Nursing,Charge Nurse,Medicine & Acute Care,7,28.33,2026-01-08,2026-02-12,18.75,0.5,GMC,Bank,On Leave,PB267529,2028-08-08,XV636259,2029-02-21,2027-01-25,2026-01-29
EMP0063-20260913_210636,Ashleigh,Spencer,tdixon@example.net,1985-10-20,01214960716,"Flat 1
Jack Extensions
Youngton
PA99 6ET",Male,Southgate Community & Mental Health NHS Trust,White,New Zealand,British Citizen,Medical,SHO,Critical Care & Anaesthesia,SHO,24.8,2026-06-02,2026-07-14,15.0,0.4,HCPC,Bank,Active,RW811863,2030-04-02,TQ747036,2027-09-08,2027-07-16,2026-06-23
EMP0064-20260913_210636,Raymond,Hayward,ovincent@example.org,1994-05-27,+441514960036,"9 Mathew Villages
Lewisshire
PO3P 4DA",Male,Hillcrest Medical Centres NHS Trust,Black,Trinidad and Tobago,Dependent,Medical,Registrar,Clinical Support Services,SPR,33.93,2024-09-30,2024-11-11,18.75,0.5,None,Bank,Active,FC028450,2027-02-14,TC199761,2027-10-18,2026-10-02,2024-10-21
