Employee ID,first_name,last_name,email,DOB,Telephone,Address,Gender,Trust,Ethnicity,Nationality,Visa Status,Staff Group,Role,Division,Ward,Grade,Salary,Hire Date,Contract Start,Weekly Hours,FTE,Registration Type,Contract Type,Employment Status,Registration Number,NI Number,Registration Expiry Date,DBS Expiry Date,Mandatory Training Completion Date,Mandatory Training Expiry Date,Profile Date
EMP0011,Carly,Williams,fwatts@example.org,1972-11-09,(0141)4960004,"860 Conor Vista
Schofieldshire
LS95 4FW",Male,Meadowbrook Community Health NHS Trust,White,New Zealand,Skilled Worker,Admin,Administrator,Women & Children,Obstetrics,3,31171,2016-12-19,2017-01-30,18.75,0.5,None,Permanent,On Leave,GU837165,GQ930767,2030-03-09,2030-12-08,2025-10-21,2027-01-30,2017-01-09
EMP0012,Jenna,Thompson,phillip38@example.net,1965-04-21,(0191)4960700,"71 Cunningham Circles
Eleanormouth
E8 2SW",Male,Eastfield Psychological Services NHS Trust,Mixed,Kenya,ILR,Medical,Consultant,Surgery & Cancer,ENT Surgery,CONS,98165,2022-10-17,2022-11-28,37.5,1.0,HCPC,Bank,Active,RH885689,CM088025,2029-03-24,2027-04-13,2026-08-12,2027-08-07,2022-11-07
EMP0013,Antony,Sutton,aaronjones@example.org,1975-05-21,(0131) 4960214,"3 Anderson Groves
West Jayneport
N6A 3TB",Male,Horizon Integrated Health Partnership NHS Trust,Mixed,India,Dependent,Admin,Receptionist,Surgery & Cancer,Neurosurgery,3,31944,2024-09-01,2024-10-13,37.5,1.0,NMC,Fixed Term,Active,KI341637,AQ416183,2027-05-25,2030-03-17,2026-06-22,2027-06-26,2024-09-22
EMP0014,Luke,Robinson,alicewilson@example.org,1986-06-23,+44116 4960564,"Studio 24K
Oliver Passage
West Marietown
GL10 2PY",Male,Westmere Community Health NHS Trust,White,United Kingdom,British Citizen,Admin,Data Analyst,Clinical Support Services,Radiology,8A,56471,2023-11-14,2023-12-26,30.0,0.8,GMC,Fixed Term,Active,NZ196508,CI627932,2026-09-22,2030-01-08,2026-01-27,2027-07-22,2023-12-05
EMP0015,Ben,Gough,charlotte45@example.net,1966-12-24,+44306 9990701,"412 Bibi Track
Port Paige
W55 4NU",Male,Riverside Integrated Care NHS Trust,Black,South Africa,Dependent,Nursing,Healthcare Assistant,Critical Care & Anaesthesia,Intensive Care Unit,2,26441,2022-06-01,2022-07-13,30.0,0.8,HCPC,Permanent,Active,ZM788811,LJ409592,2030-06-02,2027-11-21,2026-02-14,2026-10-20,2022-06-22
EMP0016,Hayley,Riley,chamberstracy@example.org,1970-03-20,0306 999 0918,"Flat 9
Ann Ramp
O'Brienchester
CF58 3FZ",Male,Midlands Central Hospitals NHS Trust,White,Canada,ILR,Nursing,Staff Nurse,Critical Care & Anaesthesia,Intensive Care Unit,5,40470,2019-06-02,2019-07-07,37.5,1.0,GMC,Bank,Suspended,AG702407,MC088384,2028-05-26,2031-05-28,2025-10-26,2027-09-07,2019-06-23
EMP0017,Julian,Baxter,vwilliams@example.net,1966-03-21,(0808) 1570729,"Studio 57X
Graham Place
Murphyton
S5C 8QT",Female,Northshire University Hospitals NHS Trust,Black,South Africa,ILR,Medical,FY1/FY2,Clinical Support Services,Radiology,FY1,39506,2024-02-26,2024-03-25,20.0,0.53,GMC,Bank,On Leave,PR321171,PH715727,2027-12-18,2031-03-06,2025-09-18,2027-06-24,2024-03-18
EMP0018,Gail,Talbot,charlotte75@example.com,2006-05-12,(0118) 496 0213,"7 Wendy Land
New Beverleybury
JE53 3EX",Male,Valleyview Mental Wellness NHS Trust,Black,Nigeria,Dependent,Medical,GP,Corporate Services,IT Support,GP,96738,2022-03-08,2022-04-19,15.0,0.4,None,Fixed Term,On Leave,VY448216,AC879834,2028-04-06,2030-12-23,2026-07-19,2027-02-06,2022-03-29
EMP0019,Malcolm,Woods,suzanne95@example.org,1992-09-10,+443069990451,"110 Williams Drive
Robinsonport
SK9E 1LH",Female,Southvale Hospitals NHS Trust,White,United Kingdom,British Citizen,Nursing,Healthcare Assistant,Corporate Services,Communications,2,24251,2019-07-11,2019-08-08,37.5,1.0,NMC,Bank,Inactive,DA389553,SB806804,2028-11-21,2028-05-30,2026-01-22,2026-11-01,2019-08-01
EMP0020,Jemma,Miles,stewartsandra@example.org,1996-09-16,03069990613,"Studio 1
Wright Corners
Shahfurt
DA5P 4UG",Female,Oakridge Community Services NHS Trust,Mixed,United Kingdom,British Citizen,Medical,FY1/FY2,Women & Children,Paediatrics,FY1,36891,2024-02-04,2024-03-03,18.75,0.5,HCPC,Fixed Term,Suspended,VW356522,CR701670,2031-04-27,2029-02-08,2025-12-02,2026-10-04,2024-02-25
EMP0021,Graeme,Wood,meganfox@example.org,2004-08-21,0141 4960232,"Flat 34
Russell Rue
New Karenshire
TA8N 7YF",Male,Southgate Community & Mental Health NHS Trust,Mixed,United Kingdom,ILR,Admin,Receptionist,Medicine & Acute Care,Geriatrics,3,27326,2019-03-31,2019-05-12,15.0,0.4,None,Bank,Active,GS169982,YJ718854,2031-08-13,2026-11-11,2025-10-29,2027-07-21,2019-04-21
EMP0022,Patrick,Brown,stanleyparkes@example.com,1969-05-02,+44(0)1134960071,"52 Joan Coves
Fionachester
M6T 3QL",Male,Meadowbrook Community Health NHS Trust,Mixed,New Zealand,Skilled Worker,Nursing,Ward Manager,Emergency & Urgent Care,Ambulance Services,8A,67085,2022-12-30,2023-02-03,30.0,0.8,HCPC,Bank,Inactive,QU396640,ON923054,2027-11-14,2027-09-03,2025-09-17,2027-08-20,2023-01-20
EMP0023,Dennis,Fraser,wilsonamanda@example.net,1963-12-20,0289018356,"60 Amy Land
South Janet
L95 6SB",Female,Bluewater Community & Rehabilitation NHS Trust,Black,Kenya,ILR,Nursing,Nursery Nurse,Medicine & Acute Care,Cardiology,2,27623,2016-10-06,2016-11-17,30.0,0.8,NMC,Bank,Active,ZL832175,ZA320520,2030-10-24,2029-04-06,2025-09-13,2027-08-09,2016-10-27
EMP0024,Dylan,Blake,manningkeith@example.org,2008-08-23,(01632) 960361,"35 Maria Manors
Alichester
WR61 8SH",Female,Eastmoor Teaching Hospitals NHS Trust,Mixed,China,Dependent,Admin,Administrator,Critical Care & Anaesthesia,Intensive Care Unit,3,26182,2026-06-23,2026-08-04,20.0,0.53,None,Permanent,Suspended,XW083476,NB400046,2031-08-25,2031-08-18,2025-10-29,2026-12-07,2026-07-14
EMP0025,Kyle,Macdonald,jparker@example.com,1977-06-30,+441144960927,"368 Joseph Grove
Austinville
HS61 4XA",Female,Southvale Hospitals NHS Trust,White,New Zealand,Skilled Worker,Admin,Administrator,Clinical Support Services,Occupational Therapy,3,31981,2016-10-01,2016-11-12,30.0,0.8,None,Fixed Term,Suspended,WK436978,SF973028,2030-10-21,2026-10-31,2025-11-06,2027-05-12,2016-10-22
EMP0026,Thomas,Bates,maxjones@example.net,2007-09-12,(0117) 4960377,"Flat 75c
Rachel Plain
East Norman
SL11 6QX",Male,Meadowbrook Community Health NHS Trust,Mixed,Australia,Dependent,Admin,Receptionist,Critical Care & Anaesthesia,Intensive Care Unit,3,30818,2023-11-19,2023-12-24,18.75,0.5,HCPC,Permanent,On Leave,TT912521,MT043736,2029-06-16,2030-09-19,2025-10-04,2027-02-01,2023-12-10
EMP0027,Diana,Chadwick,stokesalexander@example.com,1961-01-30,+44(0)1164960833,"2 Francesca Keys
South Russellville
SN7 2BE",Male,Southvale Hospitals NHS Trust,Mixed,Thailand,British Citizen,Nursing,Charge Nurse,Women & Children,Postnatal Care,7,60711,2017-05-22,2017-06-26,18.75,0.5,HCPC,Permanent,Active,IN032824,GL762910,2029-05-09,2027-07-12,2026-01-20,2026-12-11,2017-06-12
EMP0028,Gareth,Grant,mnewman@example.net,1966-06-07,020 74960254,"Flat 56
Khan Groves
Bradleyfurt
L5B 7HR",Female,Riverside Integrated Care NHS Trust,White,United States,Skilled Worker,Nursing,Staff Nurse,Critical Care & Anaesthesia,Anaesthesia,5,41425,2021-08-20,2021-10-01,20.0,0.53,GMC,Fixed Term,Active,JF711397,RP861105,2029-09-02,2029-01-31,2025-12-31,2026-11-30,2021-09-10
EMP0029,Karen,Middleton,jacquelinegill@example.net,1984-07-31,0131 4960624,"909 Newman Squares
East Lyndamouth
CV7 1DB",Male,Eastmoor Teaching Hospitals NHS Trust,Asian,China,Dependent,AHP,Speech Therapist,Clinical Support Services,Pathology,6,51856,2016-11-22,2016-12-27,30.0,0.8,None,Bank,Active,HO016969,QA807491,2026-12-15,2031-04-12,2025-09-11,2027-01-21,2016-12-13
EMP0030,Cheryl,Smith,ellismarc@example.com,1963-02-06,+44(0)1164960834,"Flat 28
Turner Groves
Middletonville
TQ1 5HS",Male,Greenhaven Acute & Specialist Care NHS Trust,Asian,Thailand,ILR,Medical,FY1/FY2,Clinical Support Services,Occupational Therapy,FY1,37367,2022-08-03,2022-09-14,15.0,0.4,None,Fixed Term,Inactive,RN697777,QD397676,2030-10-31,2028-02-22,2026-02-26,2026-11-29,2022-08-24
EMP0031,Danny,Davies,jessicataylor@example.net,1978-06-18,(0808)1570437,"Studio 56A
Wood Ranch
Bethanytown
S3J 6QB",Male,Northwood Mental Health NHS Trust,Asian,China,Dependent,Nursing,Staff Nurse,Clinical Support Services,Pathology,5,40844,2025-04-26,2025-06-07,30.0,0.8,None,Permanent,Inactive,AG396025,VB502405,2030-05-27,2029-05-27,2025-11-14,2027-02-01,2025-05-17
EMP0032,Dylan,Williams,jennasmith@example.org,1964-05-08,+44(0)306 999 0706,"Studio 51H
Mason Hill
Taylorstad
G71 7LD",Female,Eastmoor Teaching Hospitals NHS Trust,Mixed,Japan,Skilled Worker,Medical,Consultant,Medicine & Acute Care,Endocrinology,CONS,120423,2022-07-27,2022-09-07,15.0,0.4,GMC,Permanent,Inactive,BO274716,HB125445,2027-02-07,2030-01-27,2026-08-12,2026-10-23,2022-08-17
EMP0033,Linda,Brooks,debra13@example.net,1977-02-02,(0116) 4960708,"392 Francis Circles
Lake Elliottmouth
TQ67 7SP",Male,Southvale Hospitals NHS Trust,Asian,China,Skilled Worker,Nursing,Healthcare Assistant,Women & Children,Gynaecology,2,25083,2016-10-01,2016-11-12,15.0,0.4,None,Fixed Term,Suspended,HF938327,EX769586,2030-10-11,2030-07-05,2026-04-22,2027-02-28,2016-10-22
EMP0034,Jamie,White,kathleen25@example.com,1966-01-03,(020)74960214,"Studio 6
Emily Junction
West Gavin
SW1 2SR",Female,Meadowbrook Community Health NHS Trust,White,New Zealand,Skilled Worker,Medical,Registrar,Critical Care & Anaesthesia,Anaesthesia,SPR,77383,2023-10-20,2023-12-01,15.0,0.4,NMC,Fixed Term,Active,YU577415,UX496752,2028-03-19,2026-12-13,2026-03-15,2027-02-07,2023-11-10
EMP0035,Stacey,Hewitt,lewis73@example.com,1986-10-01,029 2018 0095,"Flat 5
Bowen Junctions
Liamhaven
M8 6NZ",Male,Oakridge Community Services NHS Trust,Mixed,Canada,ILR,AHP,Physiologist,Critical Care & Anaesthesia,Intensive Care Unit,6,45484,2023-12-24,2024-01-28,30.0,0.8,NMC,Bank,Active,TS441129,TF956901,2030-09-19,2028-01-24,2026-04-01,2027-01-28,2024-01-14
EMP0036,Amanda,Atkinson,williamsvalerie@example.com,1982-06-27,0113 4960260,"2 Chadwick Ports
South Rosie
OL47 0EH",Male,Riverbank General Hospitals NHS Trust,Mixed,Kenya,British Citizen,AHP,Radiographer,Surgery & Cancer,Breast Surgery,6,49829,2025-10-10,2025-11-07,20.0,0.53,GMC,Bank,Suspended,VR263254,JA158954,2028-08-22,2029-04-02,2026-06-05,2027-08-04,2025-10-31
EMP0037,Christine,West,sjones@example.net,1962-01-24,01314960269,"Studio 9
Dorothy Plains
New Ryanland
TW3 0ZG",Male,Southvale Hospitals NHS Trust,Mixed,Canada,Dependent,Medical,SHO,Women & Children,Obstetrics,SHO,55721,2018-04-26,2018-06-07,37.5,1.0,GMC,Permanent,Inactive,QG545100,SX299825,2030-02-05,2028-08-14,2026-04-12,2027-09-07,2018-05-17
EMP0038,Susan,Watson,rosemarymarshall@example.com,1962-07-09,+44191 496 0156,"Studio 91u
Kelly Flat
New Marcuston
L7D 5DT",Male,Eastfield Psychological Services NHS Trust,White,Canada,Skilled Worker,Medical,FY1/FY2,Medicine & Acute Care,Infectious Diseases,FY1,40716,2026-07-31,2026-09-11,18.75,0.5,NMC,Bank,Inactive,ZN436624,TN014932,2026-12-10,2027-03-09,2026-06-23,2027-07-24,2026-08-21
EMP0039,Annette,Williams,jadearnold@example.net,1962-01-07,0113 4960548,"282 Andrea Road
Brownburgh
W4 1HX",Male,Midlands Central Hospitals NHS Trust,Asian,Thailand,British Citizen,Admin,Data Analyst,Surgery & Cancer,Breast Surgery,8A,59604,2022-08-28,2022-09-25,30.0,0.8,GMC,Fixed Term,On Leave,LS811116,LY639876,2027-07-21,2030-03-23,2026-05-30,2026-12-21,2022-09-18
EMP0040,Paula,Stanley,tonybarker@example.org,1984-12-07,020 7946 0873,"24 Lauren Drives
North Lauren
E79 8HT",Male,Riverside Integrated Care NHS Trust,Black,Barbados,British Citizen,Nursing,Healthcare Assistant,Surgery & Cancer,Neurosurgery,2,26051,2018-07-13,2018-08-17,15.0,0.4,HCPC,Fixed Term,On Leave,XY658085,NC587598,2028-09-18,2029-08-20,2025-10-06,2027-05-21,2018-08-03
EMP0041,Mathew,McCarthy,carly02@example.com,2005-08-10,(0115)4960872,"Studio 79
Kaur Shoal
Normanville
DG5W 6FL",Female,Northshire University Hospitals NHS Trust,White,United States,ILR,AHP,Occupational Therapist,Corporate Services,Facilities Management,6,54782,2020-11-22,2020-12-27,30.0,0.8,None,Bank,Inactive,HZ046981,LL720550,2030-02-05,2028-02-03,2026-02-03,2026-12-20,2020-12-13
EMP0042,Christopher,Clarke,jfarmer@example.com,2002-03-31,01414960750,"Flat 9
Rahman Bridge
Masonfort
N79 2JW",Male,Eastfield Psychological Services NHS Trust,Mixed,United States,British Citizen,AHP,Occupational Therapist,Critical Care & Anaesthesia,Anaesthesia,6,44860,2025-12-05,2026-01-09,15.0,0.4,None,Bank,Inactive,PE942038,TH252532,2026-10-19,2026-12-16,2026-01-29,2027-01-01,2025-12-26
EMP0043,Kim,Townsend,judith69@example.net,2000-11-18,0117 496 0153,"Flat 22R
Brandon Parkway
Port Susanchester
WS2X 4PZ",Male,Valleyview Mental Wellness NHS Trust,White,Canada,Skilled Worker,Nursing,Senior Staff Nurse,Clinical Support Services,Pharmacy,6,52142,2026-07-24,2026-08-28,18.75,0.5,NMC,Bank,On Leave,RV210501,MA389915,2028-05-30,2028-05-01,2026-05-05,2027-07-06,2026-08-14
EMP0044,Donna,Williams,yevans@example.net,1990-08-03,(0808) 1570848,"70 Jemma Plaza
West Natasha
LE63 9DR",Male,Bluewater Community & Rehabilitation NHS Trust,Black,Jamaica,ILR,Admin,Medical Secretary,Clinical Support Services,Radiology,4,36092,2026-08-29,2026-10-10,15.0,0.4,None,Bank,On Leave,VI383468,FA390550,2028-01-02,2030-04-22,2025-12-08,2027-04-17,2026-09-19
EMP0045,Thomas,Baxter,kimberley61@example.com,1983-05-13,01632 960 186,"Studio 79
Francis Locks
Jasonton
B00 5WQ",Male,Broadfield Clinical Services NHS Trust,Black,Barbados,British Citizen,Medical,Consultant,Medicine & Acute Care,Acute Medicine,CONS,106339,2024-12-05,2025-01-09,20.0,0.53,NMC,Bank,Suspended,CR066418,CP013639,2028-06-20,2031-03-14,2026-05-25,2026-10-31,2024-12-26
EMP0046,Alan,Jones,adrian82@example.net,1962-05-24,+441144960492,"Studio 10w
Paula Hill
South Bruce
B15 5TQ",Male,Horizon Integrated Health Partnership NHS Trust,White,Australia,British Citizen,Medical,SHO,Critical Care & Anaesthesia,Anaesthesia,SHO,48932,2020-11-17,2020-12-15,15.0,0.4,HCPC,Fixed Term,On Leave,MZ368457,OW503988,2028-01-20,2028-08-23,2025-12-02,2026-12-15,2020-12-08
EMP0047,Deborah,Barrett,jacksonholly@example.org,1972-07-29,+441154960609,"013 Clare Avenue
Port Teresa
GL9 7BS",Male,Westmere Community Health NHS Trust,Mixed,Kenya,British Citizen,Nursing,Senior Staff Nurse,Critical Care & Anaesthesia,Anaesthesia,6,53434,2026-08-11,2026-09-15,30.0,0.8,HCPC,Fixed Term,Inactive,RU671880,ME888228,2027-08-24,2027-07-05,2025-10-03,2027-05-12,2026-09-01
EMP0048,Ricky,Rowe,emma83@example.com,1999-05-07,+4429 2018 0079,"819 Lynn Square
Lorraineton
SL65 4EJ",Male,Hillcrest Medical Centres NHS Trust,Mixed,United States,Dependent,Nursing,Ward Manager,Surgery & Cancer,Colorectal Surgery,8A,56795,2024-10-27,2024-12-08,18.75,0.5,HCPC,Permanent,Inactive,FF861472,YZ527352,2027-08-18,2027-03-06,2026-01-24,2026-10-16,2024-11-17
EMP0049,Amber,Thomas,morleykathryn@example.com,1995-05-06,(0114)4960110,"2 Wallace Summit
Michaelburgh
PL4 4JD",Female,Eastmoor Teaching Hospitals NHS Trust,Mixed,Australia,Dependent,AHP,Speech Therapist,Emergency & Urgent Care,Minor Injuries Unit,6,52063,2024-06-27,2024-07-25,18.75,0.5,NMC,Fixed Term,Active,ZS651061,VX448537,2029-09-14,2027-09-11,2026-04-27,2027-07-14,2024-07-18
EMP0050,Bernard,Kelly,alexandra03@example.net,1991-06-01,+44121 4960819,"Studio 52
Jamie Knolls
North Denisehaven
TN38 5PY",Male,Bluewater Community & Rehabilitation NHS Trust,Black,Barbados,Dependent,Admin,Data Analyst,Women & Children,Paediatrics,8A,69981,2025-01-28,2025-03-11,30.0,0.8,None,Permanent,Inactive,ST448234,TG888474,2028-12-10,2029-07-28,2025-11-10,2027-08-06,2025-02-18
EMP0051,Rebecca,Gibson,blackjean@example.com,1975-06-29,(029) 2018984,"64 Barlow Stream
Pamelaberg
ME7P 8SW",Male,Oakridge Community Services NHS Trust,Asian,India,ILR,Nursing,Nursery Nurse,Surgery & Cancer,General Surgery,2,24694,2024-01-02,2024-02-13,15.0,0.4,HCPC,Fixed Term,Suspended,WQ244849,XI703562,2028-05-18,2027-07-22,2026-02-13,2027-03-29,2024-01-23
EMP0052,Jenna,Hughes,michael71@example.net,1985-11-01,+44131 496 0922,"Flat 24
Colin Way
South Mauriceport
B10 8PH",Male,Bluewater Community & Rehabilitation NHS Trust,Black,South Africa,ILR,Nursing,Charge Nurse,Emergency & Urgent Care,Ambulance Services,7,64514,2020-04-17,2020-05-15,30.0,0.8,None,Permanent,Active,PT323464,QJ469556,2027-09-22,2031-08-01,2026-06-26,2027-01-09,2020-05-08
EMP0053,Kathleen,Jones,daniellehayes@example.com,1990-03-19,+4429 2018 0244,"Studio 20
Burgess Village
North Margaret
G2J 8DB",Female,Hillcrest Medical Centres NHS Trust,Mixed,Jamaica,ILR,AHP,Speech Therapist,Medicine & Acute Care,Endocrinology,6,44026,2023-04-11,2023-05-16,15.0,0.4,GMC,Permanent,Active,WE258352,MF156185,2028-05-28,2027-05-16,2026-03-26,2027-04-30,2023-05-02
EMP0054,Ashley,Wilson,daniellebevan@example.net,2007-07-01,09098790110,"2 Scott Plains
Parryview
W4E 3LZ",Female,Meadowbrook Community Health NHS Trust,Asian,India,Dependent,Admin,Data Analyst,Emergency & Urgent Care,Emergency Department,8A,60727,2026-08-19,2026-09-30,20.0,0.53,GMC,Permanent,On Leave,GC306527,ZS827504,2031-01-23,2027-08-20,2026-04-26,2027-02-24,2026-09-09
EMP0055,Pamela,Ahmed,emily15@example.com,1987-06-03,+44114 4960859,"Studio 9
Carly Springs
Martynhaven
AL3 1WD",Female,Eastmoor Teaching Hospitals NHS Trust,Mixed,Thailand,Dependent,Medical,Registrar,Clinical Support Services,Pharmacy,SPR,79345,2020-04-17,2020-05-15,20.0,0.53,GMC,Bank,Inactive,SP923124,BO207320,2026-09-19,2030-02-22,2026-09-11,2026-09-19,2020-05-08
EMP0056,Reece,Jennings,rosiebuckley@example.net,1996-10-26,+44121 4960335,"Flat 0
Christian Mountains
New Ellie
CF3 4FA",Male,Eastfield Psychological Services NHS Trust,Black,Nigeria,Skilled Worker,Medical,Registrar,Surgery & Cancer,Breast Surgery,SPR,73704,2016-12-04,2017-01-01,15.0,0.4,None,Permanent,Active,NP851173,JG790377,2030-10-13,2029-01-20,2026-03-04,2027-08-26,2016-12-25
EMP0057,Maureen,Roberts,michelle70@example.com,1987-04-03,(0117) 496 0345,"Flat 10
Richard Fall
New Alexander
B9W 9XU",Female,Eastmoor Teaching Hospitals NHS Trust,Black,Jamaica,ILR,Admin,Administrator,Critical Care & Anaesthesia,Intensive Care Unit,3,29267,2020-03-19,2020-04-16,37.5,1.0,NMC,Bank,On Leave,NU073738,XS894024,2028-09-01,2031-05-29,2026-07-11,2027-07-02,2020-04-09
EMP0058,Annette,Roberts,christopherwilkinson@example.net,1994-03-29,(0808)1570467,"Studio 66i
Caroline Squares
Connorberg
BT3 9UE",Male,Meadowbrook Community Health NHS Trust,Asian,India,Dependent,Medical,SHO,Medicine & Acute Care,General Surgery,SHO,49297,2018-12-07,2019-01-04,30.0,0.8,NMC,Permanent,Suspended,LT264188,CO036047,2030-09-21,2030-01-17,2026-08-30,2026-12-20,2018-12-28
EMP0059,Danny,Wilkinson,iwilson@example.org,1974-01-20,020 7946 0243,"61 Singh Run
South David
B41 3HZ",Male,Broadfield Clinical Services NHS Trust,Black,Kenya,British Citizen,Medical,Registrar,Medicine & Acute Care,Acute Medicine,SPR,78246,2017-03-30,2017-05-11,30.0,0.8,None,Bank,Inactive,QU086012,LP492628,2029-09-22,2030-10-05,2025-10-08,2027-07-16,2017-04-20
EMP0060,Valerie,Andrews,dorothyfitzgerald@example.org,1971-11-17,0292018464,"321 Johnson Manors
New Garry
W3 5GW",Male,Broadfield Clinical Services NHS Trust,White,United Kingdom,ILR,Admin,Receptionist,Women & Children,Paediatrics,3,26592,2020-06-27,2020-08-08,15.0,0.4,GMC,Permanent,Suspended,RM779264,SF192975,2027-06-26,2030-09-04,2026-09-11,2027-06-19,2020-07-18
EMP0061,Deborah,Evans,griffinstewart@example.net,1964-10-12,+44(0)808 157 0044,"6 Jeremy Pike
Martinborough
S3 0RL",Female,Northwood Mental Health NHS Trust,White,Australia,Skilled Worker,Admin,Receptionist,Critical Care & Anaesthesia,Anaesthesia,3,31237,2019-02-24,2019-03-24,18.75,0.5,GMC,Fixed Term,Suspended,BE576463,PU395441,2030-04-27,2026-09-16,2025-12-24,2026-11-11,2019-03-17
EMP0062,Sam,Thomas,lmarshall@example.net,1970-05-22,0289018862,"30 Lee Burgs
New Dennisland
SR6P 8XN",Female,Bluewater Community & Rehabilitation NHS Trust,Mixed,India,Skilled Worker,Nursing,Ward Manager,Corporate Services,IT Support,8A,65245,2025-08-12,2025-09-23,20.0,0.53,GMC,Bank,Active,JZ382990,ZR585345,2027-05-27,2030-03-09,2025-09-17,2027-09-07,2025-09-02
