booking reference,shift_date,start,end,trust,staff group,ward,division,request grade,booked grade,payband,day rate,night rate,staff_id,requester,request_reason,booked date
BR-00000012-20260913_210636,2025-10-16,11:45:00,19:45:00,Lakeside District Hospitals NHS Trust,Admin,Neurosurgery,Surgery & Cancer,Administrator,Medical Secretary,4,15.38,19.49,EMP0797-20260913_210636,Naomi Richardson,New Service Requirement,2025-07-10
BR-00000013-20260913_210636,2026-02-20,01:45:00,05:45:00,Meadowbrook Community Health NHS Trust,Admin,ENT Surgery,Surgery & Cancer,Medical Secretary,Receptionist,3,13.33,16.41,EMP0040-20260913_210636,Michael Jones,Sickness Cover,2026-07-14
BR-00000014-20260913_210636,2026-01-27,05:15:00,14:15:00,Northshire University Hospitals NHS Trust,Nursing,Finance,Corporate Services,Charge Nurse,Senior Staff Nurse,6,22.56,28.21,EMP0999-20260913_210636,Hazel Turner,Training Cover,2025-01-16
BR-00000015-20260913_210636,2027-02-05,07:30:00,15:30:00,Bluewater Community & Rehabilitation NHS Trust,AHP,Ambulance Services,Emergency & Urgent Care,Speech Therapist,Radiographer,6,22.56,28.21,EMP0304-20260913_210636,Charles Pearce,Night Shift Cover,2026-02-15
BR-00000016-20260913_210636,2027-02-02,09:15:00,14:15:00,Midlands Central Hospitals NHS Trust,Admin,Anaesthesia,Critical Care & Anaesthesia,Receptionist,Receptionist,3,13.33,16.41,EMP0124-20260913_210636,Dennis Woods,Night Shift Cover,2025-09-08
BR-00000017-20260913_210636,2027-02-21,17:00:00,05:00:00,Meadowbrook Community Health NHS Trust,Nursing,Paediatrics,Women & Children,Senior Staff Nurse,Nursery Nurse,2,12.31,14.36,EMP0771-20260913_210636,Dr Alan Smith,Study Leave Cover,2026-05-27
BR-00000018-20260913_210636,2026-02-13,04:15:00,11:15:00,Horizon Integrated Health Partnership NHS Trust,Admin,Intensive Care Unit,Critical Care & Anaesthesia,Administrator,Data Analyst,8A,28.21,35.9,EMP0943-20260913_210636,Callum Atkins,Specialist Skills Required,2024-12-06
BR-00000019-20260913_210636,2025-12-16,16:00:00,04:00:00,Riverbank General Hospitals NHS Trust,Medical,Gastroenterology,Medicine & Acute Care,GP,SHO,SHO,23.08,30.77,EMP0798-20260913_210636,Reece Howell,Annual Leave Cover,2026-05-07
BR-00000020-20260913_210636,2026-11-20,18:30:00,20:30:00,Eastfield Psychological Services NHS Trust,AHP,Physiotherapy,Clinical Support Services,Occupational Therapist,Physiologist,6,22.56,28.21,EMP0232-20260913_210636,Mrs Rosie Nicholls,Annual Leave Cover,2025-11-01
BR-00000021-20260913_210636,2026-09-05,11:30:00,12:30:00,Eastmoor Teaching Hospitals NHS Trust,Medical,Gynaecology,Women & Children,Consultant,FY1/FY2,FY1,18.46,21.54,EMP0312-20260913_210636,Eleanor Hunter,New Service Requirement,2026-01-08
BR-00000022-20260913_210636,2026-06-03,01:00:00,03:00:00,Horizon Integrated Health Partnership NHS Trust,Admin,Breast Surgery,Surgery & Cancer,Medical Secretary,Medical Secretary,4,15.38,19.49,EMP0317-20260913_210636,Anthony Williams,New Service Requirement,2025-04-16
BR-00000023-20260913_210636,2027-01-30,01:15:00,07:15:00,Horizon Integrated Health Partnership NHS Trust,Nursing,Emergency Department,Emergency & Urgent Care,Charge Nurse,Staff Nurse,5,18.97,23.08,EMP0925-20260913_210636,Mrs Abigail Conway,Planned Leave Cover,2025-08-30
BR-00000024-20260913_210636,2025-11-17,02:15:00,14:15:00,Northwood Mental Health NHS Trust,Medical,Radiology,Clinical Support Services,Registrar,GP,GP,46.15,61.54,EMP0885-20260913_210636,Toby Gibbons,Increased Patient Demand,2025-05-31
BR-00000025-20260913_210636,2027-03-21,19:45:00,03:45:00,Southgate Community & Mental Health NHS Trust,Nursing,Finance,Corporate Services,Ward Manager,Staff Nurse,5,18.97,23.08,EMP0618-20260913_210636,Gary Hussain-May,Staff Shortage,2025-06-02
BR-00000026-20260913_210636,2026-03-04,01:00:00,13:00:00,Eastmoor Teaching Hospitals NHS Trust,Nursing,Paediatrics,Women & Children,Healthcare Assistant,Staff Nurse,5,18.97,23.08,EMP0491-20260913_210636,Lynne Edwards,Sickness Cover,2026-07-20
BR-00000027-20260913_210636,2026-07-07,04:15:00,14:15:00,Oakridge Community Services NHS Trust,Nursing,Gastroenterology,Medicine & Acute Care,Healthcare Assistant,Senior Staff Nurse,6,22.56,28.21,EMP0986-20260913_210636,Yvonne Smith,Night Shift Cover,2025-07-27
BR-00000028-20260913_210636,2026-08-04,05:30:00,10:30:00,Southgate Community & Mental Health NHS Trust,Admin,Emergency Department,Emergency & Urgent Care,Medical Secretary,Administrator,3,13.33,16.41,EMP0193-20260913_210636,Damian Cross,Unexpected Absence,2026-04-13
BR-00000029-20260913_210636,2026-06-17,11:00:00,19:00:00,Oakridge Community Services NHS Trust,Nursing,Urgent Care,Emergency & Urgent Care,Healthcare Assistant,Senior Staff Nurse,6,22.56,28.21,EMP1184-20260913_210636,Ms Kirsty Bailey,Sickness Cover,2026-01-05
BR-00000030-20260913_210636,2027-03-29,06:00:00,13:00:00,Valleyview Mental Wellness NHS Trust,Admin,Postnatal Care,Women & Children,Receptionist,Medical Secretary,4,15.38,19.49,EMP0538-20260913_210636,Norman Shaw,Increased Patient Demand,2026-05-02
BR-00000031-20260913_210636,2027-02-15,01:00:00,11:00:00,Midlands Central Hospitals NHS Trust,Medical,Paediatrics,Women & Children,SHO,Registrar,SPR,33.33,43.59,EMP0497-20260913_210636,Joanna Edwards-Edwards,Weekend Cover,2024-12-06
BR-00000032-20260913_210636,2027-01-17,14:00:00,19:00:00,Horizon Integrated Health Partnership NHS Trust,Medical,Anaesthesia,Critical Care & Anaesthesia,SHO,SHO,SHO,23.08,30.77,EMP0666-20260913_210636,Hazel Jackson,Increased Patient Demand,2025-12-18
BR-00000033-20260913_210636,2027-02-11,23:45:00,02:45:00,Northwood Mental Health NHS Trust,AHP,Anaesthesia,Critical Care & Anaesthesia,Speech Therapist,Occupational Therapist,6,22.56,28.21,EMP0330-20260913_210636,Gary Douglas,Sickness Cover,2026-01-05
BR-00000034-20260913_210636,2027-07-22,00:30:00,06:30:00,Oakridge Community Services NHS Trust,Medical,Pain Management,Critical Care & Anaesthesia,Registrar,FY1/FY2,FY1,18.46,21.54,EMP0773-20260913_210636,Gary Jones,Additional Patient Safety Cover,2025-12-27
BR-00000035-20260913_210636,2025-11-01,08:45:00,14:45:00,Valleyview Mental Wellness NHS Trust,AHP,Physiotherapy,Clinical Support Services,Radiographer,Physiotherapist,6,22.56,28.21,EMP0989-20260913_210636,Francis Johnson-Wood,Annual Leave Cover,2024-10-25
BR-00000036-20260913_210636,2026-01-02,22:45:00,07:45:00,Northwood Mental Health NHS Trust,Nursing,Emergency Department,Emergency & Urgent Care,Staff Nurse,Staff Nurse,5,18.97,23.08,EMP0962-20260913_210636,Ashley Bates-Martin,Staff Redeployment,2025-04-08
BR-00000037-20260913_210636,2026-02-28,03:45:00,04:45:00,Broadfield Clinical Services NHS Trust,Nursing,ENT Surgery,Surgery & Cancer,Charge Nurse,Healthcare Assistant,2,12.31,14.36,EMP0662-20260913_210636,Natalie Patel,Specialist Skills Required,2026-08-20
BR-00000038-20260913_210636,2027-03-09,19:45:00,20:45:00,Hillcrest Medical Centres NHS Trust,Admin,Anaesthesia,Critical Care & Anaesthesia,Medical Secretary,Receptionist,3,13.33,16.41,EMP0674-20260913_210636,Dr Abbie Cross,Specialist Skills Required,2026-06-08
BR-00000039-20260913_210636,2026-03-24,21:30:00,09:30:00,Horizon Integrated Health Partnership NHS Trust,Medical,Infectious Diseases,Medicine & Acute Care,SHO,FY1/FY2,FY1,18.46,21.54,EMP1027-20260913_210636,Mrs Angela Williams,High Acuity Patients,2025-03-31
BR-00000040-20260913_210636,2026-06-02,02:30:00,04:30:00,Riverside Integrated Care NHS Trust,Nursing,Intensive Care Unit,Critical Care & Anaesthesia,Ward Manager,Senior Staff Nurse,6,22.56,28.21,EMP0819-20260913_210636,Nicholas Chamberlain,Increased Patient Demand,2026-05-25
BR-00000041-20260913_210636,2026-12-25,19:00:00,02:00:00,Westborough Acute Care NHS Trust,Admin,Respiratory Medicine,Medicine & Acute Care,Administrator,Medical Secretary,4,15.38,19.49,EMP1141-20260913_210636,Diane Holmes,New Service Requirement,2025-01-18
BR-00000042-20260913_210636,2027-04-20,16:15:00,17:15:00,Eastfield Psychological Services NHS Trust,Medical,Colorectal Surgery,Surgery & Cancer,Registrar,FY1/FY2,FY1,18.46,21.54,EMP0455-20260913_210636,Dr Ian Grant,New Service Requirement,2024-11-25
BR-00000043-20260913_210636,2026-04-18,08:15:00,17:15:00,Eastfield Psychological Services NHS Trust,Nursing,Haematology,Medicine & Acute Care,Senior Staff Nurse,Staff Nurse,5,18.97,23.08,EMP0998-20260913_210636,Allan Foster-Dunn,Maternity Leave Cover,2026-03-23
BR-00000044-20260913_210636,2026-10-22,01:00:00,09:00:00,Riverbank General Hospitals NHS Trust,Admin,Ambulance Services,Emergency & Urgent Care,Receptionist,Data Analyst,8A,28.21,35.9,EMP0301-20260913_210636,Leslie Roberts,Sickness Cover,2024-11-01
BR-00000045-20260913_210636,2027-06-15,01:30:00,11:30:00,Riverside Integrated Care NHS Trust,Admin,Breast Surgery,Surgery & Cancer,Receptionist,Administrator,3,13.33,16.41,EMP0106-20260913_210636,Abigail Cooper-Howarth,Maternity Leave Cover,2024-10-29
BR-00000046-20260913_210636,2026-04-17,19:00:00,23:00:00,Broadfield Clinical Services NHS Trust,Medical,Gynaecology,Women & Children,Registrar,SHO,SHO,23.08,30.77,EMP0979-20260913_210636,Melanie Myers-Davies,Planned Leave Cover,2026-05-23
BR-00000047-20260913_210636,2026-07-27,05:15:00,08:15:00,Northwood Mental Health NHS Trust,Admin,Neurosurgery,Surgery & Cancer,Data Analyst,Administrator,3,13.33,16.41,EMP0229-20260913_210636,Jake Webb,Sickness Cover,2024-09-15
BR-00000048-20260913_210636,2027-06-26,09:30:00,18:30:00,Greenhaven Acute & Specialist Care NHS Trust,AHP,Ambulance Services,Emergency & Urgent Care,Occupational Therapist,Occupational Therapist,6,22.56,28.21,EMP0667-20260913_210636,Jeffrey Webster,Weekend Cover,2024-10-14
BR-00000049-20260913_210636,2027-02-24,14:00:00,15:00:00,Southvale Hospitals NHS Trust,Admin,Occupational Therapy,Clinical Support Services,Administrator,Administrator,3,13.33,16.41,EMP0797-20260913_210636,Elliot Poole,Annual Leave Cover,2026-06-22
BR-00000050-20260913_210636,2025-10-11,10:45:00,18:45:00,Bluewater Community & Rehabilitation NHS Trust,Nursing,Haematology,Medicine & Acute Care,Healthcare Assistant,Healthcare Assistant,2,12.31,14.36,EMP0380-20260913_210636,Dr Oliver King,Staff Redeployment,2025-08-13
BR-00000051-20260913_210636,2027-05-18,18:30:00,06:30:00,Midlands Central Hospitals NHS Trust,Admin,Gastroenterology,Medicine & Acute Care,Receptionist,Receptionist,3,13.33,16.41,EMP0269-20260913_210636,Mrs Alexandra Patel,Maternity Leave Cover,2025-07-14
BR-00000052-20260913_210636,2026-09-04,04:45:00,08:45:00,Lakeside District Hospitals NHS Trust,Admin,Communications,Corporate Services,Medical Secretary,Receptionist,3,13.33,16.41,EMP0054-20260913_210636,Dr Joshua Pearce,High Acuity Patients,2026-06-17
BR-00000053-20260913_210636,2027-04-28,07:30:00,13:30:00,Lakeside District Hospitals NHS Trust,Admin,Communications,Corporate Services,Medical Secretary,Medical Secretary,4,15.38,19.49,EMP1102-20260913_210636,Danny Johnson-Kirk,Study Leave Cover,2026-06-29
BR-00000054-20260913_210636,2026-09-15,15:00:00,23:00:00,Riverside Integrated Care NHS Trust,Medical,Finance,Corporate Services,FY1/FY2,GP,GP,46.15,61.54,EMP0610-20260913_210636,Eileen Morris,New Service Requirement,2026-03-26
BR-00000055-20260913_210636,2026-11-05,03:45:00,05:45:00,Eastmoor Teaching Hospitals NHS Trust,Nursing,Intensive Care Unit,Critical Care & Anaesthesia,Senior Staff Nurse,Charge Nurse,7,26.67,33.33,EMP1049-20260913_210636,Mr Gary Dixon,Staff Redeployment,2026-05-18
BR-00000056-20260913_210636,2026-03-29,14:00:00,00:00:00,Eastmoor Teaching Hospitals NHS Trust,Medical,Pain Management,Critical Care & Anaesthesia,Registrar,GP,GP,46.15,61.54,EMP0187-20260913_210636,Dr Nicola Vaughan,New Service Requirement,2026-05-09
BR-00000057-20260913_210636,2027-08-17,21:45:00,23:45:00,Eastfield Psychological Services NHS Trust,Medical,Intensive Care Unit,Critical Care & Anaesthesia,GP,FY1/FY2,FY1,18.46,21.54,EMP0114-20260913_210636,Shane Daly,New Service Requirement,2025-03-26
BR-00000058-20260913_210636,2027-03-04,14:00:00,15:00:00,Northwood Mental Health NHS Trust,Medical,Orthopaedics,Surgery & Cancer,GP,FY1/FY2,FY1,18.46,21.54,EMP1123-20260913_210636,Miss Grace Skinner,Operational Requirement,2026-05-08
BR-00000059-20260913_210636,2026-12-19,00:45:00,07:45:00,Westborough Acute Care NHS Trust,AHP,Intensive Care Unit,Critical Care & Anaesthesia,Physiologist,Speech Therapist,6,22.56,28.21,EMP0988-20260913_210636,Lindsey Flynn,Training Cover,2025-11-20
BR-00000060-20260913_210636,2026-01-03,21:15:00,03:15:00,Eastfield Psychological Services NHS Trust,Nursing,Emergency Department,Emergency & Urgent Care,Ward Manager,Ward Manager,8A,28.21,35.9,EMP0819-20260913_210636,Dr Ellie Thomas,Staff Redeployment,2025-08-17
BR-00000061-20260913_210636,2026-06-18,15:30:00,22:30:00,Lakeside District Hospitals NHS Trust,AHP,IT Support,Corporate Services,Physiologist,Speech Therapist,6,22.56,28.21,EMP0112-20260913_210636,Dr Marion Thomas,Sickness Cover,2025-01-25
BR-00000062-20260913_210636,2026-09-07,12:00:00,19:00:00,Riverside Integrated Care NHS Trust,Nursing,Orthopaedics,Surgery & Cancer,Ward Manager,Ward Manager,8A,28.21,35.9,EMP0677-20260913_210636,Carole John,Study Leave Cover,2025-06-16
BR-00000063-20260913_210636,2027-01-27,04:30:00,12:30:00,Midlands Central Hospitals NHS Trust,AHP,Pain Management,Critical Care & Anaesthesia,Speech Therapist,Pharmacist,5,18.97,23.08,EMP0880-20260913_210636,Miss Bethany Barlow,Additional Patient Safety Cover,2026-06-25
BR-00000064-20260913_210636,2026-04-30,03:00:00,07:00:00,Westmere Community Health NHS Trust,Medical,Pharmacy,Clinical Support Services,SHO,Registrar,SPR,33.33,43.59,EMP0197-20260913_210636,Phillip Buckley,Bank Holiday Cover,2025-07-24
BR-00000065-20260913_210636,2026-07-30,09:30:00,11:30:00,Westmere Community Health NHS Trust,AHP,Physiotherapy,Clinical Support Services,Physiotherapist,Speech Therapist,6,22.56,28.21,EMP1198-20260913_210636,Henry Potter-Chan,Unexpected Absence,2024-11-10
BR-00000066-20260913_210636,2025-11-08,19:15:00,07:15:00,Hillcrest Medical Centres NHS Trust,Admin,Emergency Department,Emergency & Urgent Care,Administrator,Medical Secretary,4,15.38,19.49,EMP0931-20260913_210636,Donna Wilson,Weekend Cover,2026-03-04
BR-00000067-20260913_210636,2027-05-15,04:30:00,06:30:00,Riverbank General Hospitals NHS Trust,AHP,Pain Management,Critical Care & Anaesthesia,Physiologist,Speech Therapist,6,22.56,28.21,EMP0376-20260913_210636,Kevin Morris,Increased Patient Demand,2025-05-09
BR-00000068-20260913_210636,2026-12-29,06:15:00,17:15:00,Eastmoor Teaching Hospitals NHS Trust,Admin,Pain Management,Critical Care & Anaesthesia,Receptionist,Data Analyst,8A,28.21,35.9,EMP0977-20260913_210636,Gerard Martin,Unexpected Absence,2025-07-20
BR-00000069-20260913_210636,2026-07-08,16:15:00,01:15:00,Northwood Mental Health NHS Trust,Admin,Ambulance Services,Emergency & Urgent Care,Data Analyst,Administrator,3,13.33,16.41,EMP0209-20260913_210636,Jack Cooper,High Acuity Patients,2025-05-13
BR-00000070-20260913_210636,2027-06-12,11:15:00,16:15:00,Valleyview Mental Wellness NHS Trust,Admin,Facilities Management,Corporate Services,Administrator,Data Analyst,8A,28.21,35.9,EMP0141-20260913_210636,Annette Hussain-Riley,Weekend Cover,2025-02-17
BR-00000071-20260913_210636,2027-08-23,05:45:00,10:45:00,Hillcrest Medical Centres NHS Trust,Medical,Physiotherapy,Clinical Support Services,Consultant,Consultant,CONS,48.72,71.79,EMP0742-20260913_210636,Dr Louis Kelly,Maternity Leave Cover,2026-08-04
BR-00000072-20260913_210636,2025-12-24,21:00:00,22:00:00,Eastmoor Teaching Hospitals NHS Trust,Medical,Ambulance Services,Emergency & Urgent Care,Consultant,Consultant,CONS,48.72,71.79,EMP0923-20260913_210636,Sylvia Russell,New Service Requirement,2025-02-03
BR-00000073-20260913_210636,2025-10-02,00:00:00,11:00:00,Riverside Integrated Care NHS Trust,Admin,Communications,Corporate Services,Medical Secretary,Medical Secretary,4,15.38,19.49,EMP1081-20260913_210636,Joyce Lloyd,Sickness Cover,2024-12-12
BR-00000074-20260913_210636,2027-06-25,19:15:00,03:15:00,Riverbank General Hospitals NHS Trust,AHP,Facilities Management,Corporate Services,Speech Therapist,Physiologist,6,22.56,28.21,EMP0782-20260913_210636,Lee Hamilton,Unexpected Absence,2024-09-22
BR-00000075-20260913_210636,2027-01-04,05:30:00,07:30:00,Midlands Central Hospitals NHS Trust,Nursing,IT Support,Corporate Services,Charge Nurse,Charge Nurse,7,26.67,33.33,EMP1167-20260913_210636,Mr Henry Thompson,Emergency Cover,2025-06-12
BR-00000076-20260913_210636,2026-08-10,03:15:00,14:15:00,Oakridge Community Services NHS Trust,Medical,Minor Injuries Unit,Emergency & Urgent Care,Registrar,SHO,SHO,23.08,30.77,EMP0729-20260913_210636,Mr Leslie Foster,Weekend Cover,2025-05-10
BR-00000077-20260913_210636,2026-07-09,19:15:00,07:15:00,Southgate Community & Mental Health NHS Trust,Nursing,Ambulance Services,Emergency & Urgent Care,Nursery Nurse,Senior Staff Nurse,6,22.56,28.21,EMP0428-20260913_210636,Ms Olivia Wood,Annual Leave Cover,2026-09-11
BR-00000078-20260913_210636,2026-05-19,17:00:00,22:00:00,Westmere Community Health NHS Trust,AHP,Gastroenterology,Medicine & Acute Care,Speech Therapist,Radiographer,6,22.56,28.21,EMP0302-20260913_210636,Reece Davies,Maternity Leave Cover,2025-10-10
BR-00000079-20260913_210636,2027-04-07,05:45:00,16:45:00,Northshire University Hospitals NHS Trust,Admin,Minor Injuries Unit,Emergency & Urgent Care,Administrator,Administrator,3,13.33,16.41,EMP0028-20260913_210636,Rhys Ali,Additional Patient Safety Cover,2024-11-11
BR-00000080-20260913_210636,2026-07-29,07:30:00,08:30:00,Westmere Community Health NHS Trust,Medical,Emergency Department,Emergency & Urgent Care,Consultant,SHO,SHO,23.08,30.77,EMP0683-20260913_210636,Dennis Williams,Operational Requirement,2025-12-10
BR-00000081-20260913_210636,2025-11-30,07:30:00,14:30:00,Southvale Hospitals NHS Trust,Medical,IT Support,Corporate Services,Consultant,FY1/FY2,FY1,18.46,21.54,EMP0263-20260913_210636,June Gill,Operational Requirement,2026-05-04
BR-00000082-20260913_210636,2026-02-11,14:00:00,23:00:00,Midlands Central Hospitals NHS Trust,Nursing,Minor Injuries Unit,Emergency & Urgent Care,Ward Manager,Charge Nurse,7,26.67,33.33,EMP1075-20260913_210636,Philip Miller,Specialist Skills Required,2025-09-15
BR-00000083-20260913_210636,2025-12-05,05:30:00,10:30:00,Westborough Acute Care NHS Trust,AHP,Gynaecology,Women & Children,Pharmacist,Physiologist,6,22.56,28.21,EMP1044-20260913_210636,Dr Victor Jenkins,Staff Redeployment,2024-11-22
BR-00000084-20260913_210636,2026-06-15,00:15:00,08:15:00,Lakeside District Hospitals NHS Trust,AHP,Cardiology,Medicine & Acute Care,Occupational Therapist,Occupational Therapist,6,22.56,28.21,EMP0057-20260913_210636,Dr Lewis Hart,Emergency Cover,2024-10-24
BR-00000085-20260913_210636,2027-02-12,04:30:00,05:30:00,Lakeside District Hospitals NHS Trust,Medical,Postnatal Care,Women & Children,GP,Consultant,CONS,48.72,71.79,EMP0906-20260913_210636,Sara Brown,Maternity Leave Cover,2024-12-18
BR-00000086-20260913_210636,2026-04-07,11:00:00,15:00:00,Eastmoor Teaching Hospitals NHS Trust,Nursing,Intensive Care Unit,Critical Care & Anaesthesia,Senior Staff Nurse,Nursery Nurse,2,12.31,14.36,EMP0360-20260913_210636,Olivia Griffiths,Night Shift Cover,2026-07-12
BR-00000087-20260913_210636,2026-02-27,11:45:00,22:45:00,Southvale Hospitals NHS Trust,Admin,Colorectal Surgery,Surgery & Cancer,Receptionist,Receptionist,3,13.33,16.41,EMP0475-20260913_210636,Mr Jonathan Davies,Specialist Skills Required,2025-03-06
BR-00000088-20260913_210636,2025-10-10,06:15:00,16:15:00,Valleyview Mental Wellness NHS Trust,Nursing,Postnatal Care,Women & Children,Charge Nurse,Charge Nurse,7,26.67,33.33,EMP0912-20260913_210636,Francesca Bishop,Weekend Cover,2026-06-18
BR-00000089-20260913_210636,2026-10-17,17:00:00,03:00:00,Westmere Community Health NHS Trust,Nursing,Emergency Department,Emergency & Urgent Care,Healthcare Assistant,Nursery Nurse,2,12.31,14.36,EMP0281-20260913_210636,Eric Robertson,Operational Requirement,2026-03-18
BR-00000090-20260913_210636,2026-09-30,11:30:00,18:30:00,Valleyview Mental Wellness NHS Trust,Admin,Pain Management,Critical Care & Anaesthesia,Receptionist,Medical Secretary,4,15.38,19.49,EMP0503-20260913_210636,Miss Sheila Sutton,Operational Requirement,2025-04-15
BR-00000091-20260913_210636,2025-09-21,11:30:00,22:30:00,Horizon Integrated Health Partnership NHS Trust,Nursing,Pharmacy,Clinical Support Services,Healthcare Assistant,Staff Nurse,5,18.97,23.08,EMP0351-20260913_210636,Hilary Robertson,Maternity Leave Cover,2025-12-21
BR-00000092-20260913_210636,2027-03-12,01:30:00,07:30:00,Westborough Acute Care NHS Trust,Medical,Gynaecology,Women & Children,GP,Consultant,CONS,48.72,71.79,EMP0752-20260913_210636,Mr Adrian Clarke,Ward Capacity Increase,2024-09-27
BR-00000093-20260913_210636,2026-09-30,05:00:00,16:00:00,Northwood Mental Health NHS Trust,Admin,Intensive Care Unit,Critical Care & Anaesthesia,Medical Secretary,Data Analyst,8A,28.21,35.9,EMP0091-20260913_210636,Victor Murphy,Weekend Cover,2024-11-02
BR-00000094-20260913_210636,2025-12-30,20:45:00,07:45:00,Greenhaven Acute & Specialist Care NHS Trust,Admin,Paediatrics,Women & Children,Data Analyst,Medical Secretary,4,15.38,19.49,EMP0809-20260913_210636,Nicholas Cook,Weekend Cover,2026-07-24
BR-00000095-20260913_210636,2025-09-24,12:15:00,18:15:00,Greenhaven Acute & Specialist Care NHS Trust,Nursing,Communications,Corporate Services,Staff Nurse,Staff Nurse,5,18.97,23.08,EMP0268-20260913_210636,Mr Craig Dean,Maternity Leave Cover,2026-03-14
BR-00000096-20260913_210636,2027-07-15,12:00:00,00:00:00,Midlands Central Hospitals NHS Trust,Medical,Finance,Corporate Services,GP,Consultant,CONS,48.72,71.79,EMP0648-20260913_210636,Miss Kate Brown,Study Leave Cover,2026-02-07
BR-00000097-20260913_210636,2026-07-19,08:30:00,20:30:00,Westborough Acute Care NHS Trust,Medical,Neurosurgery,Surgery & Cancer,Consultant,SHO,SHO,23.08,30.77,EMP0245-20260913_210636,Shane Buckley,Bank Holiday Cover,2025-03-03
BR-00000098-20260913_210636,2026-09-22,07:45:00,10:45:00,Oakridge Community Services NHS Trust,Nursing,Ambulance Services,Emergency & Urgent Care,Nursery Nurse,Senior Staff Nurse,6,22.56,28.21,EMP0351-20260913_210636,Kenneth Cooper,Operational Requirement,2024-11-14
BR-00000099-20260913_210636,2026-04-24,02:30:00,09:30:00,Lakeside District Hospitals NHS Trust,Medical,Infectious Diseases,Medicine & Acute Care,GP,Consultant,CONS,48.72,71.79,EMP0026-20260913_210636,Miss Stephanie Warren,Sickness Cover,2026-08-22
BR-00000100-20260913_210636,2026-11-03,17:45:00,03:45:00,Broadfield Clinical Services NHS Trust,Admin,Obstetrics,Women & Children,Administrator,Administrator,3,13.33,16.41,EMP0556-20260913_210636,Kelly Grant,Unexpected Absence,2024-11-17
BR-00000101-20260913_210636,2027-05-23,17:45:00,18:45:00,Hillcrest Medical Centres NHS Trust,AHP,Minor Injuries Unit,Emergency & Urgent Care,Physiologist,Physiotherapist,6,22.56,28.21,EMP0521-20260913_210636,Max Turner,Staff Shortage,2026-07-18
