emp_id,first_name,last_name,email,dob,telephone,address,gender,trust,ethnicity,nationality,visa_status,staff_group,role,division,grade,salary,hire_date,contract_start,weekly_hours,fte,registration_type,contract_type,employment_status,registration_no,registration_expiry_date,ni,dbs_expiry_date,mandatory_training_expiry_date,profile_creation_date
EMP0013,Anna,Smith,doddstephen@example.net,1971-04-29,(0114)4960247,"Studio 68F
Saunders Mill
West Abbieview
L0 9LQ",Female,Bluewater Community & Rehabilitation NHS Trust,White,United States,ILR,Medical,SHO,Surgery & Cancer,SHO,45987,2018-04-30,2018-06-04,37.5,1.0,NMC,Bank,Active,TA309415,2029-03-01,EC121092,2031-04-25,2027-06-03,2018-05-21
EMP0014,Lawrence,Lewis,foxangela@example.org,2007-10-22,(01632)960323,"310 Fraser Village
Charlieshire
PL7W 1PA",Female,Riverbank General Hospitals NHS Trust,White,United States,British Citizen,Medical,SHO,Emergency & Urgent Care,SHO,54334,2026-06-07,2026-07-12,37.5,1.0,HCPC,Bank,Suspended,OT178150,2030-03-20,AX367145,2027-08-11,2027-01-19,2026-06-28
EMP0015,Sarah,Thomas,bethtaylor@example.org,1982-06-26,(020) 7496 0482,"Flat 08
Parker Canyon
South Angela
M7 6HW",Male,Westmere Community Health NHS Trust,Asian,India,ILR,Admin,Receptionist,Medicine & Acute Care,3,30223,2022-04-28,2022-06-09,30.0,0.8,NMC,Permanent,Suspended,GK783357,2029-01-26,QZ610111,2026-10-12,2027-02-18,2022-05-19
EMP0016,Sophie,Hewitt,rhodesabigail@example.net,1979-06-29,+44(0)131 496 0736,"Flat 49
Pearce Trace
Port Dylanhaven
G1 0AG",Female,Horizon Integrated Health Partnership NHS Trust,Black,Jamaica,ILR,Medical,Registrar,Corporate Services,SPR,83248,2018-05-14,2018-06-18,30.0,0.8,GMC,Fixed Term,On Leave,JW012247,2029-11-15,VS755406,2026-11-06,2027-02-13,2018-06-04
EMP0017,Frank,Griffin,zoespencer@example.org,1971-07-29,+44116 496 0395,"Studio 7
Rosie Fork
West Jenna
KT6P 0JT",Female,Eastmoor Teaching Hospitals NHS Trust,White,New Zealand,Dependent,Admin,Receptionist,Critical Care & Anaesthesia,3,29015,2018-09-13,2018-10-18,15.0,0.4,HCPC,Bank,Suspended,BZ807039,2029-11-20,QY148982,2026-09-23,2026-12-17,2018-10-04
EMP0018,Harriet,Hutchinson,reeshoward@example.org,1997-09-23,(0808)1570302,"7 Burton Shoal
Lake Ross
WA06 0BH",Male,Horizon Integrated Health Partnership NHS Trust,White,United States,ILR,AHP,Physiotherapist,Critical Care & Anaesthesia,6,44418,2024-05-05,2024-06-09,18.75,0.5,GMC,Permanent,Inactive,QE299559,2029-08-02,ZC152845,2030-11-10,2027-06-03,2024-05-26
EMP0019,Barry,Lawson,oshepherd@example.com,2002-08-26,+44(0)151 4960819,"60 Beverley Station
West Rebeccaburgh
UB4 5PJ",Male,Eastmoor Teaching Hospitals NHS Trust,Black,Kenya,British Citizen,AHP,Physiologist,Surgery & Cancer,6,48486,2018-02-11,2018-03-11,20.0,0.53,GMC,Bank,Active,OE856862,2027-08-28,HE788175,2028-08-21,2027-09-06,2018-03-04
EMP0020,Richard,Thompson,benprice@example.org,1976-10-24,0113 496 0397,"Studio 78E
Austin Prairie
East Emily
L8U 3ZD",Female,Southgate Community & Mental Health NHS Trust,Black,South Africa,Skilled Worker,AHP,Radiographer,Women & Children,6,47498,2020-03-21,2020-05-02,37.5,1.0,None,Fixed Term,Active,VX946710,2027-06-03,EB563759,2031-02-15,2026-09-13,2020-04-11
EMP0021,Mary,Wood,natasha22@example.org,2006-12-17,01154960512,"05 Aaron Hills
Carlville
SO3 6NN",Male,Hillcrest Medical Centres NHS Trust,Black,Barbados,ILR,Admin,Data Analyst,Corporate Services,8A,68123,2021-07-29,2021-09-02,20.0,0.53,GMC,Bank,Suspended,OI001403,2029-05-03,FN146436,2029-07-09,2027-01-22,2021-08-19
EMP0022,Mark,Rowe,owatson@example.org,1994-09-27,(029) 2018 0017,"Studio 26
Janet Mall
Davidfurt
S8H 4FQ",Female,Greenhaven Acute & Specialist Care NHS Trust,Black,Trinidad and Tobago,Skilled Worker,Nursing,Senior Staff Nurse,Corporate Services,6,47079,2021-02-05,2021-03-19,18.75,0.5,NMC,Fixed Term,On Leave,ED166983,2029-07-19,FT011170,2027-07-14,2026-11-13,2021-02-26
EMP0023,Clifford,Whitehouse,qjohnston@example.com,1962-11-06,(0115) 4960097,"575 Hill Inlet
Woodport
S8C 0XR",Female,Bluewater Community & Rehabilitation NHS Trust,Asian,India,British Citizen,AHP,Physiotherapist,Emergency & Urgent Care,6,51286,2018-08-25,2018-09-29,30.0,0.8,None,Fixed Term,Inactive,CF240826,2030-12-22,QF097120,2031-05-15,2027-06-23,2018-09-15
EMP0024,Roger,Fraser,janice90@example.net,1968-04-27,+44(0)28 9018 0321,"39 Rebecca Springs
Morristown
G5B 0UW",Male,Broadfield Clinical Services NHS Trust,Black,Jamaica,Skilled Worker,Admin,Data Analyst,Clinical Support Services,8A,67506,2025-05-22,2025-06-26,30.0,0.8,NMC,Bank,Inactive,WL518561,2029-12-21,KI721505,2028-05-14,2027-04-16,2025-06-12
EMP0025,Antony,Harrison,jodiekaur@example.org,1971-12-17,+44117 4960041,"08 Nicholson Corner
Westview
WV83 6WD",Male,Riverside Integrated Care NHS Trust,White,Canada,Dependent,AHP,Pharmacist,Clinical Support Services,5,39293,2026-05-19,2026-06-16,30.0,0.8,GMC,Bank,Inactive,XX464265,2027-04-05,PX154057,2026-11-21,2027-07-03,2026-06-09
EMP0026,Eleanor,Humphreys,eleanorvaughan@example.org,1996-10-25,0118 4960979,"060 Kayleigh Radial
North Alanbury
BR7V 6GN",Female,Eastfield Psychological Services NHS Trust,Mixed,China,Dependent,Admin,Administrator,Clinical Support Services,3,30255,2024-03-10,2024-04-14,18.75,0.5,HCPC,Fixed Term,Suspended,AC007348,2028-09-12,UT391698,2027-12-27,2026-11-17,2024-03-31
EMP0027,Glen,Bailey,jaynebrown@example.org,1990-06-24,+44(0)909 879 0686,"Studio 23
Parker Circles
Jonesberg
G97 5AL",Male,Hillcrest Medical Centres NHS Trust,Black,Trinidad and Tobago,Skilled Worker,Medical,Registrar,Corporate Services,SPR,74088,2019-01-29,2019-03-05,37.5,1.0,None,Permanent,Active,HJ221750,2028-02-16,JZ558608,2030-05-15,2026-11-18,2019-02-19
EMP0028,Emma,Andrews,unicholls@example.org,1962-04-22,08081570883,"Studio 2
Bird Lodge
Gailton
S1 7LE",Male,Southgate Community & Mental Health NHS Trust,Asian,India,Skilled Worker,AHP,Radiographer,Critical Care & Anaesthesia,6,54238,2022-01-09,2022-02-20,20.0,0.53,GMC,Bank,Suspended,YV161271,2030-11-15,CD314332,2030-06-17,2026-12-01,2022-01-30
EMP0029,Glenn,Allen,trussell@example.org,1980-03-12,01914960492,"Flat 84N
Kaur Wall
Baileyton
L83 2JZ",Female,Lakeside District Hospitals NHS Trust,Asian,India,Skilled Worker,Admin,Data Analyst,Emergency & Urgent Care,8A,62950,2023-10-27,2023-11-24,18.75,0.5,HCPC,Permanent,On Leave,WT683124,2029-04-05,KK772905,2031-08-23,2027-08-25,2023-11-17
EMP0030,Maria,Mistry,jonathancollins@example.com,1988-09-10,+44(0)118 4960824,"Studio 00C
Dean Cliff
Edwardshaven
N4U 4GD",Female,Southgate Community & Mental Health NHS Trust,Asian,Japan,Dependent,Medical,GP,Women & Children,GP,113151,2019-07-31,2019-09-11,18.75,0.5,NMC,Fixed Term,Suspended,RA542517,2029-06-10,UR466084,2030-01-30,2027-04-01,2019-08-21
EMP0031,Sam,Thomas,nathancameron@example.net,1967-12-30,+44(0)191 4960402,"Studio 79
Pamela Landing
Rowleyfort
BS40 9XG",Female,Northshire University Hospitals NHS Trust,Mixed,Ghana,Dependent,Admin,Administrator,Emergency & Urgent Care,3,27880,2021-05-01,2021-06-12,15.0,0.4,NMC,Bank,Suspended,MG579935,2028-04-09,RA012096,2029-05-20,2026-10-21,2021-05-22
EMP0032,Damien,Stanley,kayleighjohnson@example.org,1993-12-08,+4420 7496 0743,"760 Adams Parks
Lake Gail
DY0 4LN",Male,Horizon Integrated Health Partnership NHS Trust,Black,Trinidad and Tobago,Dependent,Medical,FY1/FY2,Corporate Services,FY1,39295,2021-03-12,2021-04-23,30.0,0.8,None,Permanent,Inactive,HW564977,2027-11-16,CY371922,2027-08-19,2026-12-31,2021-04-02
EMP0033,Shannon,Vincent,carlwhitehouse@example.net,1990-09-16,(0113) 496 0828,"Studio 44O
Marion Trafficway
South Samuel
EH34 1BU",Male,Midlands Central Hospitals NHS Trust,White,United Kingdom,British Citizen,Admin,Administrator,Medicine & Acute Care,3,27277,2026-03-18,2026-04-15,20.0,0.53,GMC,Fixed Term,On Leave,MZ686952,2030-07-28,MY254576,2029-09-20,2026-11-03,2026-04-08
EMP0034,Gareth,Peters,robertwood@example.net,1973-08-16,(0117) 4960501,"Studio 48
Stephen Groves
Seanland
N1 8GS",Male,Midlands Central Hospitals NHS Trust,Mixed,South Africa,Dependent,AHP,Speech Therapist,Corporate Services,6,51575,2017-09-27,2017-11-08,30.0,0.8,HCPC,Fixed Term,On Leave,HA505804,2027-01-03,ZW525877,2030-10-28,2027-03-09,2017-10-18
EMP0035,Nicholas,Mitchell,glennmartin@example.com,1981-04-27,(0115) 4960937,"08 George Islands
Emmabury
DA87 6WN",Male,Valleyview Mental Wellness NHS Trust,Black,Kenya,ILR,AHP,Speech Therapist,Clinical Support Services,6,50725,2022-08-27,2022-10-08,30.0,0.8,NMC,Permanent,Inactive,FU845593,2027-10-15,IW855676,2028-03-21,2027-01-27,2022-09-17
EMP0036,Mohammed,Yates,sarajones@example.org,1980-01-28,+4428 9018 0205,"Flat 4
Helen Square
Shahview
N68 0WJ",Female,Eastfield Psychological Services NHS Trust,White,Canada,Skilled Worker,Admin,Medical Secretary,Emergency & Urgent Care,4,34354,2021-03-21,2021-04-18,37.5,1.0,NMC,Bank,Inactive,EM912482,2029-04-15,DA431012,2029-06-19,2026-10-07,2021-04-11
EMP0037,Tracy,Kerr,sam09@example.net,1971-07-01,01184960091,"927 Griffiths Hills
Lake Angela
S2 2ZN",Male,Northwood Mental Health NHS Trust,Mixed,Japan,Skilled Worker,AHP,Radiographer,Clinical Support Services,6,53008,2024-08-30,2024-10-04,30.0,0.8,NMC,Permanent,Suspended,WY528091,2030-07-28,MO435652,2030-09-10,2027-07-27,2024-09-20
EMP0038,Aaron,Barber,pstephens@example.com,1965-07-04,0117 4960960,"Flat 56X
Helen Ports
Lake Aimeeside
E17 5XU",Female,Meadowbrook Community Health NHS Trust,Asian,China,ILR,Nursing,Ward Manager,Corporate Services,8A,62513,2023-04-16,2023-05-14,15.0,0.4,NMC,Bank,On Leave,LZ833433,2027-02-21,OP802122,2029-10-19,2027-03-12,2023-05-07
EMP0039,Keith,Jones,denis16@example.com,1972-06-01,028 9018855,"Flat 92
Teresa Rapid
New Albert
YO47 1YX",Female,Eastfield Psychological Services NHS Trust,Black,Trinidad and Tobago,British Citizen,Admin,Medical Secretary,Corporate Services,4,36600,2018-01-30,2018-03-13,30.0,0.8,None,Bank,Active,SV474560,2031-01-18,MU792311,2030-09-02,2026-11-16,2018-02-20
EMP0040,Andrea,Coates,uburton@example.com,1995-10-30,(0121) 496 0562,"8 Jones Via
Jodieton
EH9W 9ZT",Female,Riverbank General Hospitals NHS Trust,White,Australia,Skilled Worker,Nursing,Ward Manager,Emergency & Urgent Care,8A,56527,2021-06-22,2021-07-27,37.5,1.0,GMC,Permanent,Suspended,GD137537,2028-11-14,JX632902,2027-01-13,2027-06-14,2021-07-13
EMP0041,Shirley,Brown,dannywarren@example.net,1971-06-07,01632 960 195,"Studio 90E
Graham Tunnel
Louisemouth
PH2W 5LD",Male,Hillcrest Medical Centres NHS Trust,Asian,Japan,British Citizen,AHP,Physiotherapist,Surgery & Cancer,6,46304,2023-12-05,2024-01-16,18.75,0.5,NMC,Permanent,Suspended,IG281786,2029-01-09,PW975017,2026-11-22,2027-08-25,2023-12-26
EMP0042,Katy,Patel,robinsonbryan@example.com,1986-03-08,03069990874,"6 Mandy Pines
Woodshire
G85 8PH",Female,Oakridge Community Services NHS Trust,White,United States,Skilled Worker,Admin,Data Analyst,Medicine & Acute Care,8A,65262,2017-12-22,2018-01-19,15.0,0.4,None,Bank,Active,DL600011,2030-01-18,UQ796208,2030-05-02,2027-02-20,2018-01-12
EMP0043,Emma,Bryant,jonescharles@example.net,1969-11-14,+44(0)115 496 0323,"Flat 11N
Price Ports
West Nicolaville
G2 7FR",Male,Hillcrest Medical Centres NHS Trust,Black,Ghana,British Citizen,AHP,Radiographer,Medicine & Acute Care,6,49433,2025-01-26,2025-03-09,20.0,0.53,HCPC,Bank,Active,GK797944,2031-01-07,PL761216,2029-05-17,2026-10-13,2025-02-16
EMP0044,Joyce,Ellis,kennedygareth@example.org,1992-09-24,+44292018111,"468 Nicola Court
Robinview
B9 7EY",Male,Broadfield Clinical Services NHS Trust,Asian,Thailand,Skilled Worker,AHP,Physiologist,Corporate Services,6,52255,2025-11-02,2025-12-14,18.75,0.5,GMC,Permanent,Active,MQ034562,2027-04-18,UP196885,2027-03-02,2027-09-12,2025-11-23
EMP0045,Adrian,Jones,tnixon@example.net,1987-02-27,+44(0)1614960634,"Studio 80j
Haynes Prairie
New Carolynborough
S2 4NE",Male,Broadfield Clinical Services NHS Trust,Mixed,Jamaica,ILR,Admin,Administrator,Emergency & Urgent Care,3,27077,2016-09-14,2016-10-19,37.5,1.0,GMC,Permanent,Inactive,RW915620,2029-03-26,SR094676,2026-09-27,2026-12-20,2016-10-05
EMP0046,Leigh,Banks,waynepatel@example.com,1962-10-25,+441214960929,"Studio 2
Knowles Glen
East Joseph
ST8 8AB",Male,Northshire University Hospitals NHS Trust,White,United States,British Citizen,AHP,Occupational Therapist,Medicine & Acute Care,6,45527,2023-05-02,2023-05-30,20.0,0.53,None,Bank,Suspended,KV271832,2030-03-18,YN705379,2027-07-17,2027-04-24,2023-05-23
EMP0047,Joel,Barnes,tracysmith@example.org,1973-11-13,+44(0)118 4960930,"4 Pritchard Throughway
Stephaniefort
BA6 8AA",Female,Oakridge Community Services NHS Trust,Black,Ghana,Skilled Worker,Medical,Registrar,Surgery & Cancer,SPR,81433,2025-01-29,2025-03-05,30.0,0.8,None,Bank,Inactive,FY582991,2030-09-24,YE391574,2029-01-09,2027-02-12,2025-02-19
EMP0048,Michelle,Bennett,dbailey@example.org,2004-09-12,+441632 960 447,"Studio 1
John Forks
New Garry
S38 0RH",Male,Broadfield Clinical Services NHS Trust,White,United States,Dependent,Medical,Registrar,Critical Care & Anaesthesia,SPR,74778,2024-09-07,2024-10-05,20.0,0.53,HCPC,Fixed Term,Active,FF153228,2031-06-03,WI012706,2027-01-06,2027-07-17,2024-09-28
EMP0049,Jack,Andrews,youngnatasha@example.org,1962-07-22,+44292018549,"94 Ryan Valleys
East Nigelmouth
W84 5BQ",Female,Broadfield Clinical Services NHS Trust,Asian,India,Dependent,AHP,Pharmacist,Corporate Services,5,41642,2021-01-12,2021-02-23,37.5,1.0,None,Fixed Term,Active,JR158014,2027-06-19,GB395815,2026-12-22,2027-04-18,2021-02-02
EMP0050,Janet,Lee,ksmith@example.com,1986-09-03,+441514960271,"Studio 29
Grant Squares
New Howardton
S29 1ZP",Male,Westborough Acute Care NHS Trust,Mixed,Australia,British Citizen,Nursing,Ward Manager,Corporate Services,8A,59635,2021-10-19,2021-11-30,18.75,0.5,None,Bank,Suspended,KU711455,2029-02-12,PI867492,2026-12-14,2027-04-02,2021-11-09
EMP0051,John,Lowe,frederick89@example.com,1978-09-20,(0151) 496 0040,"85 John Pines
Bentleychester
FY4W 0SU",Male,Greenhaven Acute & Specialist Care NHS Trust,Black,Nigeria,Dependent,Admin,Data Analyst,Women & Children,8A,60373,2017-01-27,2017-02-24,20.0,0.53,HCPC,Permanent,Inactive,SU085582,2029-03-15,WU346389,2030-10-14,2027-04-09,2017-02-17
EMP0052,Judith,Porter,seanhughes@example.net,1975-06-25,+441632 960 862,"Flat 33
Scott Rapids
Port Abigailbury
CA7E 2BA",Male,Southgate Community & Mental Health NHS Trust,Black,Nigeria,Dependent,Nursing,Healthcare Assistant,Clinical Support Services,2,25312,2020-06-09,2020-07-07,30.0,0.8,NMC,Permanent,Active,UX969810,2027-04-17,TA515586,2028-01-26,2027-03-19,2020-06-30
EMP0053,Lynn,Adams,bhorton@example.org,1961-02-05,+441154960131,"577 Iain Inlet
West Geoffrey
GY06 5YW",Male,Southgate Community & Mental Health NHS Trust,White,United States,Dependent,Admin,Data Analyst,Critical Care & Anaesthesia,8A,69472,2020-06-07,2020-07-19,20.0,0.53,GMC,Permanent,Inactive,DK067230,2030-07-03,FY945591,2028-06-07,2027-03-08,2020-06-28
EMP0054,Rosemary,Ryan,stuart49@example.net,1986-04-12,+44(0)808 1570259,"Studio 1
Jodie Canyon
West Shaun
PH7A 0FZ",Female,Northshire University Hospitals NHS Trust,Mixed,New Zealand,ILR,Admin,Data Analyst,Medicine & Acute Care,8A,65500,2025-11-23,2025-12-21,30.0,0.8,GMC,Bank,Active,NN916226,2028-07-18,LZ221709,2027-05-01,2027-07-10,2025-12-14
EMP0055,Edward,Jackson,kcook@example.net,1966-04-02,+44113 4960005,"Flat 37N
Howells Grove
Lake Susanstad
DE5R 5UX",Female,Greenhaven Acute & Specialist Care NHS Trust,White,Australia,ILR,Admin,Data Analyst,Corporate Services,8A,64798,2026-01-20,2026-02-17,15.0,0.4,GMC,Fixed Term,On Leave,SJ941596,2028-08-01,QZ939716,2026-10-28,2027-04-16,2026-02-10
EMP0056,Joshua,Day,jadethomas@example.net,1996-04-04,08081570468,"8 Hudson Corners
New Sean
ST17 7NR",Male,Southvale Hospitals NHS Trust,Black,Kenya,ILR,Nursing,Ward Manager,Emergency & Urgent Care,8A,64445,2022-05-21,2022-06-25,37.5,1.0,HCPC,Permanent,On Leave,GB663281,2029-08-07,JM206761,2027-03-30,2027-08-17,2022-06-11
EMP0057,Elizabeth,Wong,willisdiana@example.net,1981-05-15,+44(0)1614960044,"21 Carl Canyon
Elainefort
S5 8DQ",Female,Midlands Central Hospitals NHS Trust,Black,Ghana,British Citizen,Medical,SHO,Critical Care & Anaesthesia,SHO,46163,2025-03-07,2025-04-18,15.0,0.4,HCPC,Fixed Term,Suspended,UU044998,2030-03-09,SA616126,2027-08-02,2027-06-13,2025-03-28
EMP0058,Ronald,Watson,geoffrey08@example.org,1961-02-18,(028) 9018 0973,"Studio 60
Walsh Ports
West Terenceborough
M16 5UW",Female,Lakeside District Hospitals NHS Trust,Asian,Thailand,British Citizen,AHP,Radiographer,Clinical Support Services,6,51119,2020-12-08,2021-01-19,20.0,0.53,NMC,Permanent,Inactive,GQ435105,2030-03-28,PL971683,2030-09-19,2026-11-20,2020-12-29
EMP0059,Eileen,Ferguson,oanderson@example.com,1985-04-15,(020) 74960089,"8 Ben Street
South Rickyview
LU10 3FQ",Female,Riverside Integrated Care NHS Trust,Asian,India,Dependent,Nursing,Staff Nurse,Emergency & Urgent Care,5,44083,2018-06-05,2018-07-17,15.0,0.4,GMC,Permanent,Suspended,XJ594777,2027-09-24,FW086710,2028-09-13,2027-05-11,2018-06-26
EMP0060,Robin,Graham,ricediana@example.net,1970-09-03,+44(0)29 2018 0695,"9 Bryan Meadows
Stewartburgh
TW5 8WU",Male,Eastmoor Teaching Hospitals NHS Trust,White,New Zealand,ILR,AHP,Physiologist,Clinical Support Services,6,51720,2021-07-28,2021-09-08,37.5,1.0,None,Bank,On Leave,KI883364,2031-03-13,NL588637,2028-05-27,2027-02-09,2021-08-18
EMP0061,Gareth,Lewis,jeremy76@example.org,2008-01-04,+44(0)151 496 0611,"Studio 73E
Cooper Loaf
Sullivanview
SE22 9FL",Male,Northwood Mental Health NHS Trust,Mixed,Ghana,ILR,Admin,Administrator,Surgery & Cancer,3,30990,2021-10-19,2021-11-23,37.5,1.0,HCPC,Fixed Term,Suspended,SI302683,2028-11-22,EY579698,2030-06-01,2027-07-01,2021-11-09
EMP0062,Rachael,Andrews,ucunningham@example.net,1972-06-10,+44909 8790929,"3 Pamela Village
Alexbury
M71 3WS",Male,Riverside Integrated Care NHS Trust,White,Canada,ILR,Nursing,Charge Nurse,Corporate Services,7,56865,2024-10-03,2024-10-31,18.75,0.5,HCPC,Bank,Inactive,JK101485,2027-07-31,EY982097,2027-03-05,2027-01-19,2024-10-24
EMP0063,Darren,Hill,wilkinseric@example.org,1981-08-24,(01632) 960901,"01 Walters Plains
Huntside
NW0E 1RJ",Male,Hillcrest Medical Centres NHS Trust,White,United States,British Citizen,Admin,Medical Secretary,Corporate Services,4,31595,2024-05-13,2024-06-24,30.0,0.8,None,Permanent,Inactive,HT478466,2030-05-10,WJ818085,2028-08-21,2027-06-24,2024-06-03
EMP0064,John,Stevens,annabryant@example.com,1978-10-04,+44(0)114 496 0320,"Studio 9
Smith River
Lake Joanfort
HP6 0LB",Male,Riverside Integrated Care NHS Trust,Black,Barbados,ILR,Nursing,Nursery Nurse,Emergency & Urgent Care,2,26293,2026-09-03,2026-10-08,30.0,0.8,NMC,Fixed Term,Inactive,QC583293,2027-12-07,XP416674,2027-09-26,2027-05-01,2026-09-24
EMP0065,Sam,Adams,fsmith@example.com,1993-07-21,(028) 9018722,"Studio 53T
Shaun Lodge
West Gavinfurt
LU24 6BF",Male,Greenhaven Acute & Specialist Care NHS Trust,Asian,Thailand,Skilled Worker,Medical,Consultant,Critical Care & Anaesthesia,CONS,116701,2025-01-11,2025-02-08,15.0,0.4,NMC,Permanent,On Leave,XU003421,2027-12-20,TP687552,2029-02-16,2027-06-21,2025-02-01
EMP0066,Frances,Gordon,sknowles@example.com,2001-11-19,(020)74960492,"Studio 90
Wright Rest
South Trevor
E11 0YA",Male,Eastfield Psychological Services NHS Trust,White,New Zealand,Dependent,Nursing,Senior Staff Nurse,Corporate Services,6,48820,2020-08-01,2020-09-05,15.0,0.4,NMC,Permanent,On Leave,MP106788,2029-04-10,JX073547,2031-04-11,2027-08-15,2020-08-22
EMP0067,Phillip,Morgan,chelseajenkins@example.net,2008-05-07,+441414960877,"157 Marsden Fall
Hayleyborough
KT7W 2AB",Female,Valleyview Mental Wellness NHS Trust,Asian,China,Skilled Worker,Nursing,Nursery Nurse,Medicine & Acute Care,2,26567,2023-03-26,2023-05-07,15.0,0.4,None,Permanent,Suspended,WN146833,2031-02-14,TA863526,2030-02-13,2027-05-26,2023-04-16
