booking reference,shift_date,start,end,trust,staff group,ward,division,request grade,booked grade,payband,day rate,night rate,staff_id,requester,request_reason,booked date
BR-00000015-20260913_210743,2025-10-05,11:00:00,20:00:00,Westborough Acute Care NHS Trust,Admin,Paediatrics,Women & Children,Data Analyst,Data Analyst,8A,28.21,35.9,EMP0390-20260913_210743,Rachel Read,Planned Leave Cover,2025-06-09
BR-00000016-20260913_210743,2027-01-26,18:00:00,04:00:00,Southvale Hospitals NHS Trust,Nursing,Anaesthesia,Critical Care & Anaesthesia,Staff Nurse,Senior Staff Nurse,6,22.56,28.21,EMP0486-20260913_210743,Dr Angela Green,Annual Leave Cover,2025-03-17
BR-00000017-20260913_210743,2027-04-14,15:45:00,19:45:00,Northwood Mental Health NHS Trust,Admin,Minor Injuries Unit,Emergency & Urgent Care,Administrator,Administrator,3,13.33,16.41,EMP0474-20260913_210743,Shirley Hall,Night Shift Cover,2024-10-27
BR-00000018-20260913_210743,2027-07-29,10:15:00,13:15:00,Southvale Hospitals NHS Trust,Medical,Obstetrics,Women & Children,Registrar,FY1/FY2,FY1,18.46,21.54,EMP0043-20260913_210743,Miss Maria Smith,Maternity Leave Cover,2026-09-07
BR-00000019-20260913_210743,2027-02-02,03:15:00,10:15:00,Meadowbrook Community Health NHS Trust,Nursing,Breast Surgery,Surgery & Cancer,Charge Nurse,Nursery Nurse,2,12.31,14.36,EMP0930-20260913_210743,Dominic Charlton,Ward Capacity Increase,2025-01-07
BR-00000020-20260913_210743,2025-10-26,12:00:00,23:00:00,Westborough Acute Care NHS Trust,Nursing,Pain Management,Critical Care & Anaesthesia,Staff Nurse,Ward Manager,8A,28.21,35.9,EMP0287-20260913_210743,Mathew Patel,High Acuity Patients,2025-02-07
BR-00000021-20260913_210743,2027-01-19,06:45:00,07:45:00,Riverside Integrated Care NHS Trust,Admin,Acute Medicine,Medicine & Acute Care,Administrator,Data Analyst,8A,28.21,35.9,EMP0018-20260913_210743,Jacqueline Singh-Phillips,High Acuity Patients,2025-10-03
BR-00000022-20260913_210743,2026-05-31,08:45:00,09:45:00,Meadowbrook Community Health NHS Trust,AHP,Urgent Care,Emergency & Urgent Care,Physiotherapist,Physiologist,6,22.56,28.21,EMP0771-20260913_210743,Jeffrey Hunter,Unexpected Absence,2025-05-14
BR-00000023-20260913_210743,2027-08-14,13:15:00,18:15:00,Horizon Integrated Health Partnership NHS Trust,Admin,Physiotherapy,Clinical Support Services,Receptionist,Data Analyst,8A,28.21,35.9,EMP0889-20260913_210743,Hilary Bell,Staff Shortage,2026-02-16
BR-00000024-20260913_210743,2026-12-05,07:00:00,17:00:00,Southvale Hospitals NHS Trust,AHP,Finance,Corporate Services,Radiographer,Radiographer,6,22.56,28.21,EMP0480-20260913_210743,Glen Holmes,Unexpected Absence,2026-03-21
BR-00000025-20260913_210743,2026-06-25,06:45:00,10:45:00,Southvale Hospitals NHS Trust,AHP,Emergency Department,Emergency & Urgent Care,Speech Therapist,Occupational Therapist,6,22.56,28.21,EMP0649-20260913_210743,Conor Kelly,Staff Shortage,2025-07-06
BR-00000026-20260913_210743,2027-05-12,13:45:00,22:45:00,Bluewater Community & Rehabilitation NHS Trust,Medical,Communications,Corporate Services,FY1/FY2,Registrar,SPR,33.33,43.59,EMP1169-20260913_210743,Mr Terry Lewis,Training Cover,2024-12-09
BR-00000027-20260913_210743,2026-03-17,05:15:00,17:15:00,Westmere Community Health NHS Trust,AHP,Paediatrics,Women & Children,Occupational Therapist,Occupational Therapist,6,22.56,28.21,EMP0774-20260913_210743,June Williams,Emergency Cover,2026-04-15
BR-00000028-20260913_210743,2026-11-16,11:15:00,13:15:00,Lakeside District Hospitals NHS Trust,Medical,Pharmacy,Clinical Support Services,Registrar,FY1/FY2,FY1,18.46,21.54,EMP0503-20260913_210743,Donald Tomlinson,Additional Patient Safety Cover,2025-02-28
BR-00000029-20260913_210743,2025-12-20,13:00:00,00:00:00,Lakeside District Hospitals NHS Trust,Medical,Human Resources,Corporate Services,FY1/FY2,Consultant,CONS,48.72,71.79,EMP0323-20260913_210743,Katie Davey-Fraser,Staff Shortage,2025-07-19
BR-00000030-20260913_210743,2027-04-08,17:45:00,21:45:00,Greenhaven Acute & Specialist Care NHS Trust,Nursing,Facilities Management,Corporate Services,Staff Nurse,Ward Manager,8A,28.21,35.9,EMP0098-20260913_210743,Mr Gavin Field,Additional Patient Safety Cover,2025-11-23
BR-00000031-20260913_210743,2025-12-20,08:30:00,11:30:00,Greenhaven Acute & Specialist Care NHS Trust,Admin,Paediatrics,Women & Children,Medical Secretary,Medical Secretary,4,15.38,19.49,EMP0864-20260913_210743,Katy Adams,Emergency Cover,2025-01-19
BR-00000032-20260913_210743,2025-10-26,09:00:00,11:00:00,Riverside Integrated Care NHS Trust,Admin,Physiotherapy,Clinical Support Services,Receptionist,Data Analyst,8A,28.21,35.9,EMP0824-20260913_210743,Suzanne Webb,Study Leave Cover,2026-03-22
BR-00000033-20260913_210743,2027-09-02,06:45:00,15:45:00,Hillcrest Medical Centres NHS Trust,Nursing,Neurosurgery,Surgery & Cancer,Senior Staff Nurse,Ward Manager,8A,28.21,35.9,EMP0534-20260913_210743,Barbara Lewis-Brady,Planned Leave Cover,2026-06-07
BR-00000034-20260913_210743,2026-05-08,17:30:00,19:30:00,Northwood Mental Health NHS Trust,Nursing,Emergency Department,Emergency & Urgent Care,Healthcare Assistant,Healthcare Assistant,2,12.31,14.36,EMP1040-20260913_210743,Stuart Barber,Weekend Cover,2025-10-10
BR-00000035-20260913_210743,2027-05-02,12:30:00,19:30:00,Meadowbrook Community Health NHS Trust,Admin,Orthopaedics,Surgery & Cancer,Medical Secretary,Medical Secretary,4,15.38,19.49,EMP0739-20260913_210743,James Henderson,Planned Leave Cover,2026-07-04
BR-00000036-20260913_210743,2027-05-15,04:30:00,12:30:00,Greenhaven Acute & Specialist Care NHS Trust,Medical,Gynaecology,Women & Children,FY1/FY2,Consultant,CONS,48.72,71.79,EMP0687-20260913_210743,Margaret Gilbert,Sickness Cover,2025-07-14
BR-00000037-20260913_210743,2026-01-05,09:45:00,12:45:00,Westborough Acute Care NHS Trust,Nursing,Radiology,Clinical Support Services,Staff Nurse,Senior Staff Nurse,6,22.56,28.21,EMP0660-20260913_210743,Dr Oliver Saunders,Additional Patient Safety Cover,2025-11-11
BR-00000038-20260913_210743,2027-06-19,16:15:00,02:15:00,Lakeside District Hospitals NHS Trust,Nursing,Human Resources,Corporate Services,Nursery Nurse,Ward Manager,8A,28.21,35.9,EMP0895-20260913_210743,Ms Anne Jones,New Service Requirement,2025-11-01
BR-00000039-20260913_210743,2026-08-06,01:15:00,08:15:00,Eastmoor Teaching Hospitals NHS Trust,Admin,Anaesthesia,Critical Care & Anaesthesia,Medical Secretary,Administrator,3,13.33,16.41,EMP0888-20260913_210743,Dr James Walker,Staff Redeployment,2025-12-09
BR-00000040-20260913_210743,2026-05-04,03:00:00,11:00:00,Northshire University Hospitals NHS Trust,AHP,Communications,Corporate Services,Speech Therapist,Radiographer,6,22.56,28.21,EMP0901-20260913_210743,Scott Ball,Emergency Cover,2025-08-24
BR-00000041-20260913_210743,2026-01-16,04:00:00,14:00:00,Meadowbrook Community Health NHS Trust,Admin,Ambulance Services,Emergency & Urgent Care,Receptionist,Medical Secretary,4,15.38,19.49,EMP0424-20260913_210743,Garry Archer-White,Sickness Cover,2025-04-05
BR-00000042-20260913_210743,2025-12-11,19:15:00,22:15:00,Westborough Acute Care NHS Trust,AHP,Infectious Diseases,Medicine & Acute Care,Speech Therapist,Speech Therapist,6,22.56,28.21,EMP0448-20260913_210743,Tom Kirby-Wilson,Bank Holiday Cover,2024-12-06
BR-00000043-20260913_210743,2026-03-18,18:00:00,21:00:00,Eastfield Psychological Services NHS Trust,Admin,General Surgery,Surgery & Cancer,Receptionist,Receptionist,3,13.33,16.41,EMP1146-20260913_210743,Gillian Cole,Planned Leave Cover,2026-03-08
BR-00000044-20260913_210743,2026-08-28,02:00:00,11:00:00,Oakridge Community Services NHS Trust,AHP,Pain Management,Critical Care & Anaesthesia,Physiologist,Radiographer,6,22.56,28.21,EMP0773-20260913_210743,Ben Johnson,Bank Holiday Cover,2025-12-24
BR-00000045-20260913_210743,2026-05-03,17:45:00,18:45:00,Lakeside District Hospitals NHS Trust,Admin,Breast Surgery,Surgery & Cancer,Receptionist,Administrator,3,13.33,16.41,EMP1111-20260913_210743,Mr Roy Cox,Operational Requirement,2026-07-26
BR-00000046-20260913_210743,2027-03-28,06:30:00,16:30:00,Southvale Hospitals NHS Trust,Medical,Breast Surgery,Surgery & Cancer,SHO,FY1/FY2,FY1,18.46,21.54,EMP0678-20260913_210743,Dr Frank Yates,Weekend Cover,2025-05-13
BR-00000047-20260913_210743,2027-07-29,12:00:00,13:00:00,Valleyview Mental Wellness NHS Trust,Medical,Gynaecology,Women & Children,Registrar,Registrar,SPR,33.33,43.59,EMP0229-20260913_210743,Jay Jones,Staff Shortage,2025-02-15
BR-00000048-20260913_210743,2026-06-17,12:00:00,18:00:00,Lakeside District Hospitals NHS Trust,Admin,Ambulance Services,Emergency & Urgent Care,Data Analyst,Data Analyst,8A,28.21,35.9,EMP0089-20260913_210743,Ms Claire Davis,High Acuity Patients,2025-05-05
BR-00000049-20260913_210743,2026-06-26,05:00:00,12:00:00,Greenhaven Acute & Specialist Care NHS Trust,Admin,Obstetrics,Women & Children,Medical Secretary,Data Analyst,8A,28.21,35.9,EMP1032-20260913_210743,Charles Armstrong,Specialist Skills Required,2024-11-20
BR-00000050-20260913_210743,2026-09-29,22:30:00,03:30:00,Northwood Mental Health NHS Trust,Nursing,Finance,Corporate Services,Healthcare Assistant,Staff Nurse,5,18.97,23.08,EMP0266-20260913_210743,Rachael Brown-Welch,Additional Patient Safety Cover,2025-09-29
BR-00000051-20260913_210743,2026-03-30,21:30:00,08:30:00,Westborough Acute Care NHS Trust,Nursing,Occupational Therapy,Clinical Support Services,Senior Staff Nurse,Nursery Nurse,2,12.31,14.36,EMP0152-20260913_210743,Vincent Williams-Turner,Additional Patient Safety Cover,2026-01-01
BR-00000052-20260913_210743,2027-06-02,11:15:00,22:15:00,Riverside Integrated Care NHS Trust,Admin,Intensive Care Unit,Critical Care & Anaesthesia,Administrator,Receptionist,3,13.33,16.41,EMP0677-20260913_210743,Dr Kathleen Taylor,Maternity Leave Cover,2025-03-24
BR-00000053-20260913_210743,2027-02-25,21:45:00,22:45:00,Riverbank General Hospitals NHS Trust,Medical,Paediatrics,Women & Children,Consultant,Registrar,SPR,33.33,43.59,EMP0937-20260913_210743,Nicholas Wade,Specialist Skills Required,2026-02-28
BR-00000054-20260913_210743,2027-02-19,00:45:00,12:45:00,Horizon Integrated Health Partnership NHS Trust,Nursing,Pathology,Clinical Support Services,Senior Staff Nurse,Charge Nurse,7,26.67,33.33,EMP0237-20260913_210743,Mrs Holly Lambert,Staff Redeployment,2025-07-19
BR-00000055-20260913_210743,2027-04-23,01:45:00,10:45:00,Horizon Integrated Health Partnership NHS Trust,Nursing,Infectious Diseases,Medicine & Acute Care,Ward Manager,Nursery Nurse,2,12.31,14.36,EMP0685-20260913_210743,Dr Sharon Richardson,Increased Patient Demand,2025-04-07
BR-00000056-20260913_210743,2027-01-17,16:45:00,19:45:00,Northwood Mental Health NHS Trust,Admin,Pathology,Clinical Support Services,Data Analyst,Medical Secretary,4,15.38,19.49,EMP0983-20260913_210743,Dr Kerry Hicks,Staff Shortage,2025-04-12
BR-00000057-20260913_210743,2026-02-24,10:15:00,19:15:00,Horizon Integrated Health Partnership NHS Trust,AHP,Anaesthesia,Critical Care & Anaesthesia,Pharmacist,Radiographer,6,22.56,28.21,EMP1160-20260913_210743,Miss Chelsea Phillips,Operational Requirement,2026-01-03
BR-00000058-20260913_210743,2027-01-28,20:45:00,21:45:00,Oakridge Community Services NHS Trust,Medical,Physiotherapy,Clinical Support Services,Registrar,GP,GP,46.15,61.54,EMP0685-20260913_210743,Robin Williams-Robinson,Bank Holiday Cover,2025-11-10
BR-00000059-20260913_210743,2026-04-08,22:45:00,04:45:00,Valleyview Mental Wellness NHS Trust,Nursing,Finance,Corporate Services,Ward Manager,Ward Manager,8A,28.21,35.9,EMP0828-20260913_210743,Nicole Stewart,Sickness Cover,2024-11-20
BR-00000060-20260913_210743,2026-05-30,02:30:00,13:30:00,Lakeside District Hospitals NHS Trust,Admin,Intensive Care Unit,Critical Care & Anaesthesia,Receptionist,Data Analyst,8A,28.21,35.9,EMP1179-20260913_210743,Lewis Rose,Ward Capacity Increase,2025-04-14
BR-00000061-20260913_210743,2026-09-02,16:15:00,17:15:00,Westmere Community Health NHS Trust,Medical,Physiotherapy,Clinical Support Services,GP,Consultant,CONS,48.72,71.79,EMP0482-20260913_210743,Margaret Andrews,Ward Capacity Increase,2026-07-17
BR-00000062-20260913_210743,2026-09-16,13:15:00,14:15:00,Oakridge Community Services NHS Trust,Nursing,Radiology,Clinical Support Services,Senior Staff Nurse,Ward Manager,8A,28.21,35.9,EMP1068-20260913_210743,Dr Josephine Jones,Planned Leave Cover,2024-09-23
BR-00000063-20260913_210743,2025-12-22,13:00:00,16:00:00,Lakeside District Hospitals NHS Trust,Medical,Gastroenterology,Medicine & Acute Care,Consultant,Registrar,SPR,33.33,43.59,EMP0781-20260913_210743,Mr Lee Pope,Staff Redeployment,2025-09-22
BR-00000064-20260913_210743,2026-05-21,08:15:00,10:15:00,Oakridge Community Services NHS Trust,Nursing,Urgent Care,Emergency & Urgent Care,Ward Manager,Healthcare Assistant,2,12.31,14.36,EMP0621-20260913_210743,Gordon Douglas-Cox,Bank Holiday Cover,2024-12-23
BR-00000065-20260913_210743,2027-03-23,04:00:00,06:00:00,Lakeside District Hospitals NHS Trust,Admin,Haematology,Medicine & Acute Care,Receptionist,Administrator,3,13.33,16.41,EMP0834-20260913_210743,Martin Lee,Bank Holiday Cover,2025-04-20
BR-00000066-20260913_210743,2026-06-03,04:30:00,11:30:00,Northshire University Hospitals NHS Trust,Medical,Anaesthesia,Critical Care & Anaesthesia,FY1/FY2,Consultant,CONS,48.72,71.79,EMP0823-20260913_210743,Mrs Lynne Holmes,Weekend Cover,2024-12-28
BR-00000067-20260913_210743,2026-02-17,10:45:00,20:45:00,Northwood Mental Health NHS Trust,Admin,Pharmacy,Clinical Support Services,Medical Secretary,Data Analyst,8A,28.21,35.9,EMP1169-20260913_210743,Adam Connor,Staff Shortage,2025-03-01
BR-00000068-20260913_210743,2027-06-24,16:30:00,18:30:00,Greenhaven Acute & Specialist Care NHS Trust,Nursing,Human Resources,Corporate Services,Senior Staff Nurse,Staff Nurse,5,18.97,23.08,EMP0216-20260913_210743,Trevor Dale-Parkinson,Weekend Cover,2024-10-04
BR-00000069-20260913_210743,2025-10-29,05:30:00,09:30:00,Northshire University Hospitals NHS Trust,AHP,Intensive Care Unit,Critical Care & Anaesthesia,Radiographer,Speech Therapist,6,22.56,28.21,EMP0212-20260913_210743,Dr William Gray,Sickness Cover,2024-12-28
BR-00000070-20260913_210743,2026-05-20,03:00:00,05:00:00,Riverbank General Hospitals NHS Trust,Medical,Orthopaedics,Surgery & Cancer,Consultant,Consultant,CONS,48.72,71.79,EMP1184-20260913_210743,Natalie Carter,Ward Capacity Increase,2025-12-05
BR-00000071-20260913_210743,2027-04-04,03:30:00,07:30:00,Northshire University Hospitals NHS Trust,Medical,General Surgery,Medicine & Acute Care,GP,Consultant,CONS,48.72,71.79,EMP0462-20260913_210743,Dr Joseph Parker,Maternity Leave Cover,2025-04-26
BR-00000072-20260913_210743,2027-04-11,19:30:00,21:30:00,Riverbank General Hospitals NHS Trust,Admin,IT Support,Corporate Services,Receptionist,Receptionist,3,13.33,16.41,EMP0698-20260913_210743,Brian Smith,Study Leave Cover,2025-03-22
BR-00000073-20260913_210743,2025-11-29,08:45:00,12:45:00,Hillcrest Medical Centres NHS Trust,Nursing,Pathology,Clinical Support Services,Healthcare Assistant,Staff Nurse,5,18.97,23.08,EMP0714-20260913_210743,Anna Barnett,New Service Requirement,2025-01-21
BR-00000074-20260913_210743,2025-10-07,02:45:00,10:45:00,Westmere Community Health NHS Trust,Admin,Minor Injuries Unit,Emergency & Urgent Care,Data Analyst,Administrator,3,13.33,16.41,EMP0929-20260913_210743,Dr Douglas Bond,Night Shift Cover,2025-10-30
BR-00000075-20260913_210743,2027-01-15,07:45:00,14:45:00,Broadfield Clinical Services NHS Trust,Medical,Intensive Care Unit,Critical Care & Anaesthesia,FY1/FY2,Registrar,SPR,33.33,43.59,EMP0216-20260913_210743,Chloe Barton,Annual Leave Cover,2026-04-25
BR-00000076-20260913_210743,2026-02-14,20:15:00,03:15:00,Northwood Mental Health NHS Trust,Nursing,Obstetrics,Women & Children,Staff Nurse,Healthcare Assistant,2,12.31,14.36,EMP0713-20260913_210743,Dr Kelly Hudson,Bank Holiday Cover,2025-08-23
BR-00000077-20260913_210743,2026-03-16,04:15:00,15:15:00,Northwood Mental Health NHS Trust,Admin,ENT Surgery,Surgery & Cancer,Data Analyst,Data Analyst,8A,28.21,35.9,EMP0024-20260913_210743,Malcolm Jordan,Weekend Cover,2026-01-10
BR-00000078-20260913_210743,2027-08-18,03:30:00,13:30:00,Broadfield Clinical Services NHS Trust,Medical,Minor Injuries Unit,Emergency & Urgent Care,Registrar,Registrar,SPR,33.33,43.59,EMP1052-20260913_210743,Jean Adams,Sickness Cover,2025-02-18
BR-00000079-20260913_210743,2026-08-21,01:45:00,02:45:00,Northwood Mental Health NHS Trust,AHP,Ambulance Services,Emergency & Urgent Care,Radiographer,Speech Therapist,6,22.56,28.21,EMP0057-20260913_210743,Ms Catherine Walker,Bank Holiday Cover,2024-12-02
BR-00000080-20260913_210743,2027-01-18,04:15:00,07:15:00,Oakridge Community Services NHS Trust,Medical,Communications,Corporate Services,Consultant,Consultant,CONS,48.72,71.79,EMP0018-20260913_210743,Dylan Turner,Additional Patient Safety Cover,2025-09-08
BR-00000081-20260913_210743,2025-12-14,23:30:00,10:30:00,Westborough Acute Care NHS Trust,Medical,Occupational Therapy,Clinical Support Services,GP,FY1/FY2,FY1,18.46,21.54,EMP0041-20260913_210743,Mr Paul Abbott,Bank Holiday Cover,2026-01-28
BR-00000082-20260913_210743,2027-07-27,10:15:00,22:15:00,Broadfield Clinical Services NHS Trust,Admin,Breast Surgery,Surgery & Cancer,Receptionist,Data Analyst,8A,28.21,35.9,EMP1092-20260913_210743,Dr Dennis Dale,Increased Patient Demand,2025-07-06
BR-00000083-20260913_210743,2027-07-05,02:45:00,07:45:00,Valleyview Mental Wellness NHS Trust,Admin,Pain Management,Critical Care & Anaesthesia,Receptionist,Data Analyst,8A,28.21,35.9,EMP0383-20260913_210743,Ryan Townsend,High Acuity Patients,2025-12-20
BR-00000084-20260913_210743,2026-01-18,21:00:00,22:00:00,Greenhaven Acute & Specialist Care NHS Trust,Nursing,Intensive Care Unit,Critical Care & Anaesthesia,Senior Staff Nurse,Nursery Nurse,2,12.31,14.36,EMP0403-20260913_210743,Frances May,Emergency Cover,2024-10-30
BR-00000085-20260913_210743,2026-11-03,14:30:00,16:30:00,Southvale Hospitals NHS Trust,AHP,Neurology,Medicine & Acute Care,Radiographer,Speech Therapist,6,22.56,28.21,EMP0957-20260913_210743,Jeffrey Coates-Oliver,Maternity Leave Cover,2026-06-19
BR-00000086-20260913_210743,2026-01-14,16:30:00,22:30:00,Eastfield Psychological Services NHS Trust,AHP,Ambulance Services,Emergency & Urgent Care,Pharmacist,Speech Therapist,6,22.56,28.21,EMP0370-20260913_210743,Alison Brown,High Acuity Patients,2025-06-19
BR-00000087-20260913_210743,2026-09-27,09:45:00,18:45:00,Midlands Central Hospitals NHS Trust,Nursing,Gastroenterology,Medicine & Acute Care,Healthcare Assistant,Charge Nurse,7,26.67,33.33,EMP0238-20260913_210743,Miss Karen Clements,Planned Leave Cover,2024-12-10
BR-00000088-20260913_210743,2027-06-28,17:00:00,02:00:00,Northshire University Hospitals NHS Trust,Admin,Obstetrics,Women & Children,Administrator,Administrator,3,13.33,16.41,EMP1028-20260913_210743,Mr George Goddard,Night Shift Cover,2025-05-27
BR-00000089-20260913_210743,2027-05-14,19:30:00,04:30:00,Riverside Integrated Care NHS Trust,Medical,Communications,Corporate Services,GP,Registrar,SPR,33.33,43.59,EMP0422-20260913_210743,Mohammed Kirby,Annual Leave Cover,2025-01-05
BR-00000090-20260913_210743,2026-07-28,18:45:00,06:45:00,Westmere Community Health NHS Trust,AHP,Pathology,Clinical Support Services,Radiographer,Pharmacist,5,18.97,23.08,EMP1031-20260913_210743,Ms Jessica Norton,High Acuity Patients,2025-04-12
BR-00000091-20260913_210743,2027-07-06,01:30:00,13:30:00,Meadowbrook Community Health NHS Trust,AHP,Haematology,Medicine & Acute Care,Occupational Therapist,Radiographer,6,22.56,28.21,EMP0504-20260913_210743,Alice James,Maternity Leave Cover,2026-05-26
BR-00000092-20260913_210743,2026-03-07,15:30:00,22:30:00,Oakridge Community Services NHS Trust,Medical,Radiology,Clinical Support Services,FY1/FY2,FY1/FY2,FY1,18.46,21.54,EMP0189-20260913_210743,Ben Jones,Weekend Cover,2024-09-26
BR-00000093-20260913_210743,2027-04-06,05:15:00,17:15:00,Northwood Mental Health NHS Trust,AHP,Cardiology,Medicine & Acute Care,Physiologist,Physiologist,6,22.56,28.21,EMP1128-20260913_210743,Denise Jones,Training Cover,2025-03-21
BR-00000094-20260913_210743,2025-10-04,05:00:00,07:00:00,Riverbank General Hospitals NHS Trust,Medical,Infectious Diseases,Medicine & Acute Care,FY1/FY2,Registrar,SPR,33.33,43.59,EMP0860-20260913_210743,Ashley Rahman,Increased Patient Demand,2025-04-10
BR-00000095-20260913_210743,2026-07-22,06:45:00,12:45:00,Westborough Acute Care NHS Trust,Medical,Respiratory Medicine,Medicine & Acute Care,SHO,Consultant,CONS,48.72,71.79,EMP0061-20260913_210743,Christine Jones,Annual Leave Cover,2026-03-03
BR-00000096-20260913_210743,2026-11-08,12:15:00,14:15:00,Westborough Acute Care NHS Trust,Nursing,Finance,Corporate Services,Nursery Nurse,Senior Staff Nurse,6,22.56,28.21,EMP0690-20260913_210743,Victor Patel,Weekend Cover,2024-12-09
BR-00000097-20260913_210743,2027-07-24,13:30:00,01:30:00,Northwood Mental Health NHS Trust,Nursing,Human Resources,Corporate Services,Nursery Nurse,Charge Nurse,7,26.67,33.33,EMP0733-20260913_210743,Dr Antony Baxter,Emergency Cover,2025-10-25
BR-00000098-20260913_210743,2027-01-10,08:30:00,13:30:00,Valleyview Mental Wellness NHS Trust,Medical,Human Resources,Corporate Services,SHO,Registrar,SPR,33.33,43.59,EMP1128-20260913_210743,Ms Catherine Hill,New Service Requirement,2025-05-27
BR-00000099-20260913_210743,2026-06-30,13:30:00,22:30:00,Riverbank General Hospitals NHS Trust,Admin,Pathology,Clinical Support Services,Medical Secretary,Medical Secretary,4,15.38,19.49,EMP0922-20260913_210743,Dr Melanie Stanley,Staff Shortage,2026-04-24
BR-00000100-20260913_210743,2026-09-18,22:15:00,02:15:00,Greenhaven Acute & Specialist Care NHS Trust,Nursing,Emergency Department,Emergency & Urgent Care,Senior Staff Nurse,Staff Nurse,5,18.97,23.08,EMP0832-20260913_210743,Melissa Shaw,Study Leave Cover,2024-12-24
BR-00000101-20260913_210743,2027-01-19,10:15:00,12:15:00,Westborough Acute Care NHS Trust,AHP,General Surgery,Surgery & Cancer,Speech Therapist,Pharmacist,5,18.97,23.08,EMP0182-20260913_210743,Dr Brandon Harrison,Unexpected Absence,2025-07-21
BR-00000102-20260913_210743,2025-11-23,09:00:00,17:00:00,Eastmoor Teaching Hospitals NHS Trust,Admin,Oncology,Medicine & Acute Care,Receptionist,Receptionist,3,13.33,16.41,EMP0742-20260913_210743,Mr Jeremy Jones,Increased Patient Demand,2025-12-20
